분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,NC,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.000
3월,03.29,NC,0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0.000
3월,03.31,삼성,0.000,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.000
4월,04.01,삼성,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.059
4월,04.02,삼성,0.000,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0.050
4월,04.03,한화,0.500,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0.091
4월,04.04,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0.077
4월,04.05,한화,0.000,5,3,1,0,0,0,0,0,0,0,1,1,0,0,0.069
4월,04.07,키움,0.333,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0.094
4월,04.08,키움,0.500,4,2,0,1,1,0,0,2,0,0,1,0,0,0,0.118
4월,04.10,KT,0.000,5,3,1,0,0,0,0,0,0,0,1,1,1,0,0.108
4월,04.11,KT,0.250,4,4,1,1,1,0,0,0,0,0,0,0,2,0,0.122
4월,04.12,KT,0.333,4,3,0,1,0,0,0,1,0,0,1,0,0,0,0.136
4월,04.14,SSG,0.500,5,2,2,1,0,0,1,3,0,0,1,1,0,0,0.152
4월,04.15,SSG,0.333,4,3,0,1,1,0,0,0,0,0,1,0,0,0,0.163
4월,04.16,SSG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.170
4월,04.17,KIA,1.000,5,3,0,3,0,0,0,1,0,0,1,0,0,0,0.214
4월,04.18,KIA,0.200,5,5,1,1,0,0,1,1,0,0,0,0,1,0,0.213
4월,04.19,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.200
4월,04.21,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.188
4월,04.22,롯데,1.000,5,3,0,3,1,0,0,3,0,0,1,0,0,0,0.222
4월,04.23,롯데,0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,1,0.227
