분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.222,10,9,1,2,0,0,1,4,0,0,1,0,3,0
상대팀별,LG,3,0.250,12,12,0,3,0,0,0,0,0,0,0,0,4,1
상대팀별,NC,2,0.222,9,9,1,2,0,0,0,1,0,0,0,0,2,0
상대팀별,두산,3,0.083,12,12,0,1,0,0,0,0,0,0,0,0,2,0
상대팀별,롯데,3,0.267,15,15,2,4,1,0,1,3,0,0,0,0,3,1
상대팀별,삼성,3,0.333,13,12,1,4,2,0,1,4,0,0,0,0,1,0
상대팀별,키움,3,0.385,13,13,3,5,0,0,1,4,0,0,0,0,2,0
상대팀별,한화,2,0.333,9,9,2,3,0,0,1,1,0,1,0,0,2,0
구장별,대구,3,0.333,13,12,1,4,2,0,1,4,0,0,0,0,1,0
구장별,문학,10,0.256,44,43,6,11,0,0,3,9,0,1,1,0,9,0
구장별,사직,3,0.267,15,15,2,4,1,0,1,3,0,0,0,0,3,1
구장별,잠실,3,0.250,12,12,0,3,0,0,0,0,0,0,0,0,4,1
구장별,창원,2,0.222,9,9,1,2,0,0,0,1,0,0,0,0,2,0
월별,3~4월,21,0.264,93,91,10,24,3,0,5,17,0,1,1,0,19,2
요일별,화,4,0.222,18,18,3,4,1,0,1,2,0,1,0,0,3,0
요일별,수,4,0.294,17,17,3,5,0,0,2,2,0,0,0,0,1,0
요일별,목,3,0.364,12,11,0,4,1,0,0,5,0,0,0,0,3,0
요일별,금,2,0.333,9,9,1,3,0,0,1,2,0,0,0,0,1,2
요일별,토,4,0.300,20,20,2,6,1,0,0,2,0,0,0,0,5,0
요일별,일,4,0.125,17,16,1,2,0,0,1,4,0,0,1,0,6,0
홈/방문별,홈,10,0.256,44,43,6,11,0,0,3,9,0,1,1,0,9,0
홈/방문별,방문,11,0.271,49,48,4,13,3,0,2,8,0,0,0,0,10,2
주/야간별,주간,5,0.143,22,21,1,3,0,0,1,5,0,0,1,0,7,0
주/야간별,야간,16,0.300,71,70,9,21,3,0,4,12,0,1,0,0,12,2
기간별,전반기,21,0.264,93,91,10,24,3,0,5,17,0,1,1,0,19,2
