분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.333,36,12,2,0,4,4,0,0,6,0
주자상황별,1루,0.087,23,2,0,0,0,0,1,0,8,1
주자상황별,2루,0.267,15,4,1,0,0,3,0,0,4,0
주자상황별,3루,0.667,3,2,0,0,0,2,0,0,0,0
주자상황별,"1,2루",0.250,8,2,0,0,1,4,0,0,0,1
주자상황별,"1,3루",1.000,1,1,0,0,0,1,0,0,0,0
주자상황별,만루,0.200,5,1,0,0,0,3,0,0,1,0
주자상황별,주자있음,0.218,55,12,1,0,1,13,1,0,13,2
주자상황별,득점권,0.313,32,10,1,0,1,13,0,0,5,1
볼카운트별,0-0,0.333,12,4,1,0,0,2,0,0,0,1
볼카운트별,1-0,0.400,10,4,0,0,1,4,0,0,0,1
볼카운트별,2-0,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,0-1,0.333,9,3,0,0,2,2,0,0,0,0
볼카운트별,1-1,0.375,8,3,0,0,1,2,0,0,0,0
볼카운트별,2-1,0.000,5,0,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.500,2,1,0,0,0,0,1,0,0,0
볼카운트별,0-2,0.333,9,3,0,0,1,2,0,0,4,0
볼카운트별,1-2,0.176,17,3,1,0,0,4,0,0,7,0
볼카운트별,2-2,0.214,14,3,1,0,0,1,0,0,5,0
볼카운트별,3-2,0.000,3,0,0,0,0,0,0,0,3,0
이닝별,1회,0.050,20,1,0,0,0,0,0,0,7,1
이닝별,2회,0.000,4,0,0,0,0,0,0,0,0,1
이닝별,3회,0.286,14,4,0,0,2,4,0,0,3,0
이닝별,4회,0.556,9,5,2,0,3,3,0,0,1,0
이닝별,5회,0.429,14,6,0,0,0,3,0,0,1,0
이닝별,6회,0.250,8,2,0,0,0,3,0,0,2,0
이닝별,7회,0.200,10,2,1,0,0,2,0,0,3,0
이닝별,8회,0.200,5,1,0,0,0,0,1,0,1,0
이닝별,9회,0.429,7,3,0,0,0,2,0,0,1,0
이닝별,1~3회,0.132,38,5,0,0,2,4,0,0,10,2
이닝별,4~6회,0.419,31,13,2,0,3,9,0,0,4,0
이닝별,7회이후,0.273,22,6,1,0,0,4,1,0,5,0
타순별,2번타자,0.257,70,18,1,0,4,13,1,0,16,2
타순별,4번타자,0.286,21,6,2,0,1,4,0,0,3,0
투수유형별,좌투수,0.308,13,4,1,0,0,4,1,0,4,0
투수유형별,우투수,0.260,77,20,2,0,5,13,0,0,14,2
투수유형별,언더투수,0.000,1,0,0,0,0,0,0,0,1,0
아웃카운트별,0아웃,0.220,41,9,0,0,1,4,0,0,9,1
아웃카운트별,1아웃,0.231,26,6,1,0,3,4,1,0,6,1
아웃카운트별,2아웃,0.375,24,9,2,0,1,9,0,0,4,0
