분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KIA,0.200,5,5,0,1,0,0,0,1,0,0,0,0,1,0,0.200
3월,03.29,KIA,0.250,5,4,1,1,0,0,1,3,0,0,1,0,2,0,0.222
3월,03.31,키움,0.400,5,5,3,2,0,0,1,1,0,0,0,0,1,0,0.286
4월,04.01,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.278
4월,04.02,키움,0.500,4,4,0,2,0,0,0,3,0,0,0,0,1,0,0.318
4월,04.03,롯데,0.400,5,5,1,2,0,0,1,2,0,0,0,0,0,1,0.333
4월,04.04,롯데,0.400,5,5,1,2,1,0,0,1,0,0,0,0,1,0,0.344
4월,04.05,롯데,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.297
4월,04.07,한화,0.250,4,4,0,1,0,0,0,0,0,1,0,0,2,0,0.293
4월,04.08,한화,0.400,5,5,2,2,0,0,1,1,0,0,0,0,0,0,0.304
4월,04.10,LG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,1,0.300
4월,04.11,LG,0.400,5,5,0,2,0,0,0,0,0,0,0,0,2,0,0.309
4월,04.12,LG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.293
4월,04.14,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.274
4월,04.15,두산,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.273
4월,04.16,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.257
4월,04.18,NC,0.200,5,5,1,1,0,0,0,0,0,0,0,0,1,0,0.253
4월,04.19,NC,0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.253
4월,04.21,삼성,0.200,5,5,0,1,1,0,0,1,0,0,0,0,0,0,0.250
4월,04.22,삼성,0.250,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0.250
4월,04.23,삼성,0.667,4,3,0,2,1,0,0,2,0,0,0,0,1,0,0.264
