분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.100,13,10,1,1,0,0,0,1,0,0,2,0,1,1
상대팀별,KT,2,0.667,10,9,4,6,1,0,0,1,0,0,1,0,0,0
상대팀별,NC,2,0.000,10,8,2,0,0,0,0,0,0,0,2,0,2,0
상대팀별,SSG,3,0.273,13,11,3,3,0,0,1,4,0,1,2,0,2,0
상대팀별,롯데,3,0.455,13,11,2,5,1,0,1,2,0,0,2,0,1,0
상대팀별,삼성,2,0.200,10,10,2,2,1,1,0,1,0,0,0,0,2,0
상대팀별,키움,3,0.615,15,13,4,8,1,0,3,4,0,0,2,0,1,0
상대팀별,한화,3,0.250,13,12,1,3,0,0,1,3,0,0,1,0,1,0
구장별,고척,3,0.615,15,13,4,8,1,0,3,4,0,0,2,0,1,0
구장별,대구,2,0.200,10,10,2,2,1,1,0,1,0,0,0,0,2,0
구장별,잠실,14,0.340,62,53,11,18,2,0,3,11,0,1,8,0,5,1
구장별,창원,2,0.000,10,8,2,0,0,0,0,0,0,0,2,0,2,0
월별,3~4월,21,0.333,97,84,19,28,4,1,6,16,0,1,12,0,10,1
요일별,화,4,0.250,17,16,3,4,1,0,1,2,0,0,1,0,2,1
요일별,수,4,0.133,18,15,2,2,0,0,0,1,0,0,2,0,3,0
요일별,목,3,0.300,14,10,1,3,0,0,1,3,0,0,4,0,0,0
요일별,금,2,0.625,10,8,4,5,1,0,2,5,0,0,2,0,1,0
요일별,토,4,0.444,19,18,5,8,1,0,2,3,0,0,1,0,3,0
요일별,일,4,0.353,19,17,4,6,1,1,0,2,0,1,2,0,1,0
홈/방문별,홈,14,0.340,62,53,11,18,2,0,3,11,0,1,8,0,5,1
홈/방문별,방문,7,0.323,35,31,8,10,2,1,3,5,0,0,4,0,5,0
주/야간별,주간,6,0.370,29,27,7,10,2,1,0,3,0,1,2,0,2,0
주/야간별,야간,15,0.316,68,57,12,18,2,0,6,13,0,0,10,0,8,1
기간별,전반기,21,0.333,97,84,19,28,4,1,6,16,0,1,12,0,10,1
