분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.390,41,16,1,1,5,5,4,0,6,0
주자상황별,1루,0.211,19,4,1,0,0,0,0,0,0,1
주자상황별,2루,0.375,8,3,1,0,1,4,3,0,1,0
주자상황별,3루,1.000,3,3,1,0,0,3,1,0,0,0
주자상황별,"1,2루",0.167,6,1,0,0,0,1,1,0,2,0
주자상황별,"1,3루",0.250,4,1,0,0,0,1,3,0,1,0
주자상황별,"2,3루",0.000,1,0,0,0,0,1,0,0,0,0
주자상황별,만루,0.000,2,0,0,0,0,1,0,0,0,0
주자상황별,주자있음,0.279,43,12,3,0,1,11,8,0,4,1
주자상황별,득점권,0.333,24,8,2,0,1,11,8,0,4,0
볼카운트별,0-0,0.273,11,3,0,0,1,1,0,0,0,0
볼카운트별,1-0,0.600,10,6,1,0,1,2,0,0,0,1
볼카운트별,2-0,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-1,0.333,9,3,1,0,1,4,0,0,0,0
볼카운트별,1-1,0.667,6,4,1,1,1,2,0,0,0,0
볼카운트별,2-1,0.250,8,2,0,0,0,1,0,0,0,0
볼카운트별,3-1,0.667,3,2,0,0,1,1,7,0,0,0
볼카운트별,0-2,0.167,6,1,0,0,0,1,0,0,2,0
볼카운트별,1-2,0.154,13,2,0,0,0,1,0,0,3,0
볼카운트별,2-2,0.000,6,0,0,0,0,0,0,0,2,0
볼카운트별,3-2,0.455,11,5,1,0,1,3,3,0,3,0
이닝별,1회,0.350,20,7,0,0,0,2,1,0,3,0
이닝별,2회,-,0,0,0,0,0,0,2,0,0,0
이닝별,3회,0.385,13,5,2,0,0,3,1,0,1,0
이닝별,4회,0.500,6,3,0,1,2,3,2,0,0,1
이닝별,5회,0.167,12,2,0,0,1,1,1,0,1,0
이닝별,6회,0.143,7,1,1,0,0,1,4,0,0,0
이닝별,7회,0.444,9,4,1,0,0,3,0,0,1,0
이닝별,8회,0.333,9,3,0,0,1,1,1,0,1,0
이닝별,9회,0.375,8,3,0,0,2,2,0,0,3,0
이닝별,1~3회,0.364,33,12,2,0,0,5,4,0,4,0
이닝별,4~6회,0.240,25,6,1,1,3,5,7,0,1,1
이닝별,7회이후,0.385,26,10,1,0,3,6,1,0,5,0
타순별,3번타자,0.333,84,28,4,1,6,16,12,0,10,1
투수유형별,좌투수,0.190,21,4,0,0,0,2,1,0,4,0
투수유형별,우투수,0.393,61,24,4,1,6,14,11,0,6,1
투수유형별,언더투수,0.000,2,0,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.500,20,10,1,0,4,5,4,0,1,1
아웃카운트별,1아웃,0.360,25,9,2,1,1,5,0,0,2,0
아웃카운트별,2아웃,0.231,39,9,1,0,1,6,8,0,7,0
