분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KT,0.600,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0.600
3월,03.29,KT,0.750,5,4,2,3,1,0,0,1,0,0,1,0,0,0,0.667
3월,03.31,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.462
4월,04.01,KIA,0.333,5,3,1,1,0,0,0,1,0,0,1,0,1,0,0.438
4월,04.02,KIA,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.368
4월,04.03,키움,0.600,5,5,1,3,1,0,1,2,0,0,0,0,1,0,0.417
4월,04.04,키움,1.000,5,4,2,4,0,0,2,2,0,0,1,0,0,0,0.500
4월,04.05,키움,0.250,5,4,1,1,0,0,0,0,0,0,1,0,0,0,0.469
4월,04.07,NC,0.000,5,4,1,0,0,0,0,0,0,0,1,0,1,0,0.417
4월,04.08,NC,0.000,5,4,1,0,0,0,0,0,0,0,1,0,1,0,0.375
4월,04.10,SSG,0.667,5,3,3,2,0,0,1,3,0,0,2,0,0,0,0.395
4월,04.11,SSG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.362
4월,04.12,SSG,0.250,4,4,0,1,0,0,0,1,0,1,0,0,0,0,0.353
4월,04.14,롯데,0.750,4,4,2,3,1,0,1,1,0,0,0,0,1,0,0.382
4월,04.15,롯데,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.373
4월,04.16,롯데,0.333,5,3,0,1,0,0,0,1,0,0,2,0,0,0,0.371
4월,04.18,삼성,0.200,5,5,1,1,1,0,0,1,0,0,0,0,1,0,0.358
4월,04.19,삼성,0.200,5,5,1,1,0,1,0,0,0,0,0,0,1,0,0.347
4월,04.21,한화,0.250,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0.342
4월,04.22,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.325
4월,04.23,한화,0.500,5,4,1,2,0,0,1,2,0,0,1,0,0,0,0.333
