분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.000,9,8,0,0,0,0,0,2,0,0,0,1,1,0
상대팀별,KT,2,0.143,7,7,0,1,1,0,0,1,0,0,0,0,1,0
상대팀별,NC,2,0.500,8,8,1,4,0,0,1,3,0,0,0,0,2,0
상대팀별,SSG,3,0.500,13,12,5,6,1,0,0,3,0,0,0,0,2,0
상대팀별,롯데,3,0.091,12,11,1,1,0,0,0,0,1,0,1,0,1,0
상대팀별,삼성,2,0.400,8,5,1,2,0,0,0,1,0,0,2,1,0,0
상대팀별,키움,3,0.429,9,7,0,3,1,0,0,3,0,1,2,0,0,0
상대팀별,한화,3,0.000,12,7,1,0,0,0,0,0,0,0,5,0,2,0
구장별,고척,3,0.429,9,7,0,3,1,0,0,3,0,1,2,0,0,0
구장별,대구,2,0.400,8,5,1,2,0,0,0,1,0,0,2,1,0,0
구장별,잠실,13,0.178,53,45,7,8,2,0,0,6,1,0,6,1,7,0
구장별,창원,2,0.500,8,8,1,4,0,0,1,3,0,0,0,0,2,0
월별,3~4월,20,0.262,78,65,9,17,3,0,1,13,1,1,10,2,9,0
요일별,화,4,0.133,16,15,1,2,0,0,0,2,0,0,1,0,4,0
요일별,수,4,0.154,17,13,1,2,0,0,1,3,0,0,3,1,2,0
요일별,목,2,0.167,8,6,1,1,0,0,0,0,1,0,2,0,0,0
요일별,금,2,0.500,6,4,1,2,0,0,0,3,0,0,1,0,1,0
요일별,토,4,0.182,14,11,2,2,0,0,0,0,0,0,2,1,1,0
요일별,일,4,0.500,17,16,3,8,3,0,0,5,0,1,1,0,1,0
홈/방문별,홈,13,0.178,53,45,7,8,2,0,0,6,1,0,6,1,7,0
홈/방문별,방문,7,0.450,25,20,2,9,1,0,1,7,0,1,4,1,2,0
주/야간별,주간,6,0.429,24,21,3,9,3,0,0,5,0,1,2,1,1,0
주/야간별,야간,14,0.182,54,44,6,8,0,0,1,8,1,0,8,1,8,0
기간별,전반기,20,0.262,78,65,9,17,3,0,1,13,1,1,10,2,9,0
