분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.125,32,4,1,0,0,0,6,1,6,0
주자상황별,1루,0.333,15,5,0,0,0,0,1,0,2,0
주자상황별,2루,0.750,4,3,1,0,1,3,2,0,0,0
주자상황별,3루,-,0,0,0,0,0,0,0,0,0,0
주자상황별,"1,2루",0.000,2,0,0,0,0,0,1,1,1,0
주자상황별,"1,3루",0.500,6,3,1,0,0,5,0,0,0,0
주자상황별,"2,3루",0.500,2,1,0,0,0,2,0,0,0,0
주자상황별,만루,0.250,4,1,0,0,0,3,0,0,0,0
주자상황별,주자있음,0.394,33,13,2,0,1,13,4,1,3,0
주자상황별,득점권,0.444,18,8,2,0,1,13,3,1,1,0
볼카운트별,0-0,0.125,8,1,0,0,0,2,0,0,0,0
볼카운트별,1-0,0.500,2,1,0,0,0,0,0,1,0,0
볼카운트별,2-0,0.250,4,1,0,0,1,2,0,0,0,0
볼카운트별,3-0,1.000,1,1,0,0,0,1,1,0,0,0
볼카운트별,0-1,0.286,7,2,0,0,0,1,0,0,0,0
볼카운트별,1-1,0.250,8,2,0,0,0,1,0,1,0,0
볼카운트별,2-1,0.333,3,1,0,0,0,2,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,0,3,0,0,0
볼카운트별,0-2,0.000,6,0,0,0,0,0,0,0,3,0
볼카운트별,1-2,0.286,7,2,1,0,0,3,0,0,1,0
볼카운트별,2-2,0.500,12,6,2,0,0,1,0,0,3,0
볼카운트별,3-2,0.000,6,0,0,0,0,0,6,0,2,0
이닝별,1회,0.000,2,0,0,0,0,2,0,0,0,0
이닝별,2회,0.250,12,3,0,0,0,0,3,0,0,0
이닝별,3회,0.143,7,1,1,0,0,1,0,0,2,0
이닝별,4회,0.400,10,4,1,0,0,3,2,1,2,0
이닝별,5회,0.143,7,1,0,0,0,0,1,0,1,0
이닝별,6회,0.300,10,3,0,0,0,3,1,0,1,0
이닝별,7회,0.143,7,1,0,0,0,1,2,0,2,0
이닝별,8회,0.429,7,3,0,0,1,2,1,1,1,0
이닝별,9회,0.333,3,1,1,0,0,1,0,0,0,0
이닝별,1~3회,0.190,21,4,1,0,0,3,3,0,2,0
이닝별,4~6회,0.296,27,8,1,0,0,6,4,1,4,0
이닝별,7회이후,0.294,17,5,1,0,1,4,3,1,3,0
타순별,5번타자,0.257,35,9,1,0,0,4,8,1,5,0
타순별,6번타자,0.250,8,2,0,0,1,3,0,1,2,0
타순별,7번타자,0.200,15,3,1,0,0,3,0,0,2,0
타순별,8번타자,0.429,7,3,1,0,0,3,2,0,0,0
투수유형별,좌투수,0.294,17,5,1,0,0,3,4,1,2,0
투수유형별,우투수,0.250,48,12,2,0,1,10,6,1,7,0
아웃카운트별,0아웃,0.231,26,6,1,0,0,4,5,0,1,0
아웃카운트별,1아웃,0.316,19,6,0,0,0,3,2,1,4,0
아웃카운트별,2아웃,0.250,20,5,2,0,1,6,3,1,4,0
