분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KT,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.000
3월,03.29,KT,0.250,4,4,0,1,1,0,0,1,0,0,0,0,1,0,0.143
3월,03.31,KIA,0.000,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0.091
4월,04.01,KIA,0.000,5,4,0,0,0,0,0,1,0,0,0,1,1,0,0.067
4월,04.03,키움,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.067
4월,04.04,키움,0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0.059
4월,04.05,키움,0.600,5,5,0,3,1,0,0,3,0,1,0,0,0,0,0.182
4월,04.07,NC,0.500,4,4,0,2,0,0,0,1,0,0,0,0,1,0,0.231
4월,04.08,NC,0.500,4,4,1,2,0,0,1,2,0,0,0,0,1,0,0.267
4월,04.10,SSG,0.500,5,4,1,2,0,0,0,3,0,0,0,0,1,0,0.294
4월,04.11,SSG,0.250,4,4,2,1,0,0,0,0,0,0,0,0,1,0,0.289
4월,04.12,SSG,0.750,4,4,2,3,1,0,0,0,0,0,0,0,0,0,0.333
4월,04.14,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.304
4월,04.15,롯데,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.286
4월,04.16,롯데,0.250,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0.283
4월,04.18,삼성,0.500,4,2,0,1,0,0,0,0,0,0,1,1,0,0,0.291
4월,04.19,삼성,0.333,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0.293
4월,04.21,한화,0.000,4,3,1,0,0,0,0,0,0,0,1,0,2,0,0.279
4월,04.22,한화,0.000,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0.270
4월,04.23,한화,0.000,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0.262
