분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.154,39,6,2,0,1,1,0,1,11,0
주자상황별,1루,0.278,18,5,0,0,2,4,1,0,5,3
주자상황별,2루,-,0,0,0,0,0,0,2,0,0,0
주자상황별,3루,0.000,1,0,0,0,0,1,0,0,0,0
주자상황별,"1,2루",0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,"1,3루",0.333,3,1,1,0,0,1,0,0,0,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,주자있음,0.250,24,6,1,0,2,6,3,0,6,3
주자상황별,득점권,0.167,6,1,1,0,0,2,2,0,1,0
볼카운트별,0-0,0.286,7,2,1,0,0,0,0,1,0,0
볼카운트별,1-0,0.000,2,0,0,0,0,1,0,0,0,0
볼카운트별,2-0,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.000,4,0,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.333,9,3,1,0,1,2,0,0,0,1
볼카운트별,2-1,0.500,2,1,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.500,2,1,0,0,0,0,1,0,0,0
볼카운트별,0-2,0.143,7,1,0,0,0,0,0,0,5,0
볼카운트별,1-2,0.111,9,1,0,0,1,2,0,0,6,1
볼카운트별,2-2,0.333,9,3,1,0,1,2,0,0,2,1
볼카운트별,3-2,0.000,10,0,0,0,0,0,1,0,4,0
이닝별,1회,0.167,12,2,1,0,1,3,0,0,2,2
이닝별,2회,0.000,4,0,0,0,0,0,0,0,2,0
이닝별,3회,0.429,7,3,0,0,1,2,1,0,3,0
이닝별,4회,0.375,8,3,0,0,1,1,1,0,1,0
이닝별,5회,0.111,9,1,1,0,0,0,0,1,2,0
이닝별,6회,0.400,5,2,1,0,0,1,0,0,0,1
이닝별,7회,0.143,7,1,0,0,0,0,1,0,3,0
이닝별,8회,0.000,4,0,0,0,0,0,0,0,2,0
이닝별,9회,0.000,7,0,0,0,0,0,0,0,2,0
이닝별,1~3회,0.217,23,5,1,0,2,5,1,0,7,2
이닝별,4~6회,0.273,22,6,2,0,1,2,1,1,3,1
이닝별,7회이후,0.056,18,1,0,0,0,0,1,0,7,0
타순별,1번타자,0.250,4,1,0,0,1,2,1,0,0,0
타순별,2번타자,0.000,4,0,0,0,0,0,0,0,2,1
타순별,3번타자,0.280,25,7,1,0,2,3,1,0,7,1
타순별,4번타자,0.000,3,0,0,0,0,1,0,0,0,0
타순별,5번타자,0.375,8,3,2,0,0,1,0,1,3,0
타순별,6번타자,0.000,14,0,0,0,0,0,1,0,5,1
타순별,7번타자,0.200,5,1,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.111,18,2,0,0,1,2,1,0,6,1
투수유형별,우투수,0.220,41,9,3,0,2,5,2,1,9,2
투수유형별,언더투수,0.250,4,1,0,0,0,0,0,0,2,0
아웃카운트별,0아웃,0.190,21,4,1,0,2,3,0,0,7,1
아웃카운트별,1아웃,0.211,19,4,0,0,1,2,0,1,3,2
아웃카운트별,2아웃,0.174,23,4,2,0,0,2,3,0,7,0
