분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,삼성,0.400,5,5,1,2,1,0,1,2,0,0,0,0,2,0,0.400
3월,03.29,삼성,0.500,4,4,0,2,0,0,0,0,0,1,0,0,1,1,0.444
3월,03.31,NC,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.333
4월,04.01,NC,0.200,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0.294
4월,04.02,NC,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.286
4월,04.03,SSG,0.000,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0.250
4월,04.04,SSG,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,1,0.214
4월,04.05,SSG,0.250,5,4,1,1,0,0,1,2,0,0,1,0,0,0,0.219
4월,04.07,KT,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0.222
4월,04.08,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,1,0.200
4월,04.10,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.182
4월,04.11,키움,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.174
4월,04.12,키움,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.167
4월,04.14,LG,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.176
4월,04.15,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.164
4월,04.16,LG,0.500,5,4,0,2,1,0,0,1,0,0,0,1,2,0,0.186
4월,04.18,한화,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.190
