분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.308,13,13,1,4,0,0,0,4,0,0,0,0,3,1
상대팀별,LG,2,0.429,8,7,1,3,1,0,0,2,0,0,1,0,0,0
상대팀별,NC,3,0.000,8,7,1,0,0,0,0,1,0,0,1,0,0,1
상대팀별,두산,3,0.143,8,7,1,1,0,0,0,1,0,0,0,0,1,0
상대팀별,롯데,2,0.125,8,8,0,1,0,0,0,1,0,0,0,0,4,0
상대팀별,삼성,3,0.111,10,9,1,1,0,0,0,1,0,0,0,1,2,0
상대팀별,키움,3,0.250,9,8,1,2,0,0,0,1,0,0,0,0,2,0
상대팀별,한화,3,0.462,13,13,1,6,0,0,0,0,0,0,0,0,3,0
구장별,대전,3,0.462,13,13,1,6,0,0,0,0,0,0,0,0,3,0
구장별,사직,2,0.125,8,8,0,1,0,0,0,1,0,0,0,0,4,0
구장별,수원,12,0.216,40,37,4,8,0,0,0,7,0,0,0,1,8,1
구장별,잠실,2,0.429,8,7,1,3,1,0,0,2,0,0,1,0,0,0
구장별,창원,3,0.000,8,7,1,0,0,0,0,1,0,0,1,0,0,1
월별,3~4월,22,0.250,77,72,7,18,1,0,0,11,0,0,2,1,15,2
요일별,화,4,0.375,16,16,0,6,0,0,0,3,0,0,0,0,3,1
요일별,수,4,0.083,13,12,2,1,0,0,0,3,0,0,1,0,5,0
요일별,목,3,0.308,13,13,1,4,0,0,0,0,0,0,0,0,2,1
요일별,금,3,0.125,9,8,0,1,0,0,0,1,0,0,0,0,1,0
요일별,토,4,0.429,16,14,4,6,1,0,0,4,0,0,0,1,3,0
요일별,일,4,0.000,10,9,0,0,0,0,0,0,0,0,1,0,1,0
홈/방문별,홈,12,0.216,40,37,4,8,0,0,0,7,0,0,0,1,8,1
홈/방문별,방문,10,0.286,37,35,3,10,1,0,0,4,0,0,2,0,7,1
주/야간별,주간,4,0.231,14,13,1,3,1,0,0,2,0,0,1,0,0,0
주/야간별,야간,18,0.254,63,59,6,15,0,0,0,9,0,0,1,1,15,2
기간별,전반기,22,0.250,77,72,7,18,1,0,0,11,0,0,2,1,15,2
