분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.118,34,4,0,0,0,0,1,1,10,0
주자상황별,1루,0.333,18,6,0,0,0,0,1,0,2,2
주자상황별,2루,0.375,8,3,0,0,0,3,0,0,2,0
주자상황별,"1,2루",0.667,6,4,1,0,0,4,0,0,0,0
주자상황별,"1,3루",0.000,2,0,0,0,0,1,0,0,0,0
주자상황별,"2,3루",0.000,2,0,0,0,0,1,0,0,0,0
주자상황별,만루,0.500,2,1,0,0,0,2,0,0,1,0
주자상황별,주자있음,0.368,38,14,1,0,0,11,1,0,5,2
주자상황별,득점권,0.400,20,8,1,0,0,11,0,0,3,0
볼카운트별,0-0,0.500,8,4,1,0,0,5,0,0,0,0
볼카운트별,1-0,0.500,6,3,0,0,0,1,0,0,0,0
볼카운트별,0-1,0.222,9,2,0,0,0,1,0,0,0,1
볼카운트별,1-1,0.286,7,2,0,0,0,0,0,1,0,0
볼카운트별,2-1,0.667,3,2,0,0,0,1,0,0,0,0
볼카운트별,3-1,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-2,0.111,9,1,0,0,0,2,0,0,2,0
볼카운트별,1-2,0.000,16,0,0,0,0,0,0,0,9,1
볼카운트별,2-2,0.273,11,3,0,0,0,1,0,0,3,0
볼카운트별,3-2,0.333,3,1,0,0,0,0,1,0,1,0
이닝별,1회,0.500,2,1,1,0,0,2,0,0,0,0
이닝별,2회,0.222,9,2,0,0,0,3,0,0,1,1
이닝별,3회,0.200,10,2,0,0,0,0,0,0,3,0
이닝별,4회,0.556,9,5,0,0,0,1,0,1,0,1
이닝별,5회,0.000,10,0,0,0,0,0,1,0,3,0
이닝별,6회,0.091,11,1,0,0,0,0,0,0,4,0
이닝별,7회,0.286,7,2,0,0,0,2,1,0,1,0
이닝별,8회,0.300,10,3,0,0,0,2,0,0,2,0
이닝별,9회,0.667,3,2,0,0,0,1,0,0,0,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,1,0
이닝별,1~3회,0.238,21,5,1,0,0,5,0,0,4,1
이닝별,4~6회,0.200,30,6,0,0,0,1,1,1,7,1
이닝별,7회이후,0.333,21,7,0,0,0,5,1,0,4,0
타순별,9번타자,0.250,72,18,1,0,0,11,2,1,15,2
투수유형별,좌투수,0.125,24,3,0,0,0,1,0,0,6,1
투수유형별,우투수,0.304,46,14,1,0,0,10,2,1,9,1
투수유형별,언더투수,0.500,2,1,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.167,24,4,0,0,0,0,2,0,4,1
아웃카운트별,1아웃,0.263,19,5,0,0,0,2,0,1,4,1
아웃카운트별,2아웃,0.310,29,9,1,0,0,9,0,0,7,0
