분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.000,8,8,0,0,0,0,0,0,0,0,0,0,5,0
상대팀별,KT,3,0.500,11,8,1,4,2,0,0,0,0,0,3,0,1,0
상대팀별,LG,2,0.167,6,6,1,1,0,0,0,0,0,0,0,0,1,0
상대팀별,SSG,2,0.286,8,7,2,2,1,0,1,1,0,0,1,0,1,0
상대팀별,롯데,3,0.333,10,9,1,3,0,0,0,0,0,0,1,0,1,0
상대팀별,삼성,3,0.273,12,11,2,3,1,0,2,2,0,0,1,0,2,0
상대팀별,키움,3,0.600,12,10,2,6,2,0,0,0,0,0,2,0,1,0
구장별,고척,3,0.600,12,10,2,6,2,0,0,0,0,0,2,0,1,0
구장별,광주,3,0.000,8,8,0,0,0,0,0,0,0,0,0,0,5,0
구장별,대구,3,0.273,12,11,2,3,1,0,2,2,0,0,1,0,2,0
구장별,창원,10,0.333,35,30,5,10,3,0,1,1,0,0,5,0,4,0
월별,3~4월,19,0.322,67,59,9,19,6,0,3,3,0,0,8,0,12,0
요일별,화,4,0.300,13,10,1,3,2,0,0,0,0,0,3,0,2,0
요일별,수,4,0.538,15,13,2,7,1,0,0,0,0,0,2,0,1,0
요일별,목,3,0.400,11,10,2,4,1,0,0,0,0,0,1,0,1,0
요일별,금,2,0.167,6,6,1,1,0,0,1,1,0,0,0,0,2,0
요일별,토,3,0.100,11,10,1,1,0,0,1,1,0,0,1,0,4,0
요일별,일,3,0.300,11,10,2,3,2,0,1,1,0,0,1,0,2,0
홈/방문별,홈,10,0.333,35,30,5,10,3,0,1,1,0,0,5,0,4,0
홈/방문별,방문,9,0.310,32,29,4,9,3,0,2,2,0,0,3,0,8,0
주/야간별,주간,3,0.300,11,10,2,3,2,0,1,1,0,0,1,0,2,0
주/야간별,야간,16,0.327,56,49,7,16,4,0,2,2,0,0,7,0,10,0
기간별,전반기,19,0.322,67,59,9,19,6,0,3,3,0,0,8,0,12,0
