분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.400,40,16,5,0,3,3,4,0,7,0
주자상황별,1루,0.250,8,2,1,0,0,0,2,0,2,0
주자상황별,2루,0.000,2,0,0,0,0,0,1,0,1,0
주자상황별,3루,0.000,3,0,0,0,0,0,1,0,1,0
주자상황별,"1,2루",0.333,3,1,0,0,0,0,0,0,1,0
주자상황별,"1,3루",0.000,3,0,0,0,0,0,0,0,0,0
주자상황별,"2,3루",-,0,0,0,0,0,0,0,0,0,0
주자상황별,주자있음,0.158,19,3,1,0,0,0,4,0,5,0
주자상황별,득점권,0.091,11,1,0,0,0,0,2,0,3,0
볼카운트별,0-0,0.333,6,2,1,0,0,0,0,0,0,0
볼카운트별,1-0,0.000,3,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,3,0,0,0
볼카운트별,0-1,0.200,5,1,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.625,8,5,1,0,0,0,0,0,0,0
볼카운트별,2-1,0.500,4,2,0,0,1,1,0,0,0,0
볼카운트별,3-1,0.500,2,1,1,0,0,0,1,0,0,0
볼카운트별,0-2,0.250,4,1,1,0,0,0,0,0,3,0
볼카운트별,1-2,0.000,9,0,0,0,0,0,0,0,4,0
볼카운트별,2-2,0.333,12,4,1,0,1,1,0,0,3,0
볼카운트별,3-2,0.500,6,3,1,0,1,1,4,0,2,0
이닝별,1회,0.000,4,0,0,0,0,0,1,0,1,0
이닝별,2회,0.357,14,5,4,0,0,0,0,0,2,0
이닝별,3회,0.500,4,2,0,0,0,0,0,0,2,0
이닝별,4회,0.333,12,4,1,0,1,1,1,0,3,0
이닝별,5회,0.286,7,2,1,0,0,0,0,0,0,0
이닝별,6회,0.444,9,4,0,0,2,2,3,0,3,0
이닝별,7회,0.250,4,1,0,0,0,0,0,0,1,0
이닝별,8회,0.000,4,0,0,0,0,0,3,0,0,0
이닝별,9회,1.000,1,1,0,0,0,0,0,0,0,0
이닝별,1~3회,0.318,22,7,4,0,0,0,1,0,5,0
이닝별,4~6회,0.357,28,10,2,0,3,3,4,0,6,0
이닝별,7회이후,0.222,9,2,0,0,0,0,3,0,1,0
타순별,5번타자,0.333,21,7,2,0,1,1,3,0,4,0
타순별,6번타자,0.409,22,9,4,0,2,2,4,0,4,0
타순별,7번타자,0.100,10,1,0,0,0,0,0,0,3,0
타순별,8번타자,0.333,6,2,0,0,0,0,1,0,1,0
투수유형별,좌투수,0.263,19,5,2,0,1,1,1,0,4,0
투수유형별,우투수,0.297,37,11,2,0,2,2,6,0,8,0
투수유형별,언더투수,1.000,3,3,2,0,0,0,1,0,0,0
아웃카운트별,0아웃,0.273,22,6,3,0,0,0,0,0,5,0
아웃카운트별,1아웃,0.409,22,9,0,0,2,2,2,0,3,0
아웃카운트별,2아웃,0.267,15,4,3,0,1,1,6,0,4,0
