연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2016,두산,0.200,2,5,5,0,1,0,0,0,1,0,0,0,0,0,2,0,0.200,0.200,0
2017,두산,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0
2018,NC,0.226,71,199,177,24,40,9,0,4,61,24,1,2,16,4,57,6,0.345,0.303,5
2019,KIA,0.219,60,168,151,19,33,4,0,6,55,22,0,0,12,2,40,3,0.364,0.281,1
2020,KIA,0.203,48,67,59,5,12,1,0,0,13,3,1,0,6,2,11,2,0.220,0.299,0
2021,KIA,0.200,65,100,85,12,17,5,0,0,22,4,2,1,13,0,17,2,0.259,0.303,1
2022,KIA,0.292,80,137,120,23,35,7,0,1,45,12,1,3,12,1,20,5,0.375,0.361,2
2023,KIA,0.301,126,400,355,39,107,17,0,8,148,58,8,1,31,5,81,10,0.417,0.363,1
2024,KIA,0.288,112,449,399,56,115,16,1,9,160,54,7,1,44,3,89,17,0.401,0.361,8
2025,NC,0.250,105,337,300,28,75,22,1,3,108,33,2,1,31,2,66,8,0.360,0.321,3
2026,NC,0.322,19,67,59,9,19,6,0,3,34,3,0,0,8,0,12,0,0.576,0.403,0
