분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.231,13,13,2,3,0,0,1,1,1,0,0,0,1,0
상대팀별,KT,3,0.286,14,14,1,4,2,0,0,1,0,0,0,0,1,0
상대팀별,LG,3,0.250,14,12,1,3,0,0,0,1,3,0,1,1,2,0
상대팀별,NC,1,0.500,2,2,0,1,1,0,0,0,0,0,0,0,1,0
상대팀별,SSG,3,0.308,14,13,3,4,3,0,0,4,0,0,0,1,2,0
상대팀별,두산,2,0.375,10,8,2,3,0,1,0,1,0,0,2,0,2,0
상대팀별,롯데,3,0.273,12,11,2,3,1,0,1,1,0,0,1,0,4,0
상대팀별,한화,2,0.111,11,9,1,1,1,0,0,3,0,0,1,1,4,0
구장별,고척,7,0.280,28,25,3,7,2,0,1,2,3,0,2,1,7,0
구장별,광주,3,0.231,13,13,2,3,0,0,1,1,1,0,0,0,1,0
구장별,대전,2,0.111,11,9,1,1,1,0,0,3,0,0,1,1,4,0
구장별,문학,3,0.308,14,13,3,4,3,0,0,4,0,0,0,1,2,0
구장별,수원,3,0.286,14,14,1,4,2,0,0,1,0,0,0,0,1,0
구장별,잠실,2,0.375,10,8,2,3,0,1,0,1,0,0,2,0,2,0
월별,3~4월,20,0.268,90,82,12,22,8,1,2,12,4,0,5,3,17,0
요일별,화,4,0.214,15,14,1,3,1,0,0,2,0,0,1,0,4,0
요일별,수,3,0.467,16,15,6,7,3,1,1,4,1,0,1,0,2,0
요일별,목,2,0.143,8,7,0,1,0,0,0,0,0,0,0,1,0,0
요일별,금,3,0.333,12,12,1,4,2,0,0,1,1,0,0,0,3,0
요일별,토,4,0.211,20,19,1,4,1,0,0,3,0,0,1,0,5,0
요일별,일,4,0.200,19,15,3,3,1,0,1,2,2,0,2,2,3,0
홈/방문별,홈,7,0.280,28,25,3,7,2,0,1,2,3,0,2,1,7,0
홈/방문별,방문,13,0.263,62,57,9,15,6,1,1,10,1,0,3,2,10,0
주/야간별,주간,4,0.133,20,15,3,2,1,0,1,4,2,0,3,2,5,0
주/야간별,야간,16,0.299,70,67,9,20,7,1,1,8,2,0,2,1,12,0
기간별,전반기,20,0.268,90,82,12,22,8,1,2,12,4,0,5,3,17,0
