분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.271,48,13,3,1,2,2,2,3,14,0
주자상황별,1루,0.286,14,4,1,0,0,0,2,0,1,0
주자상황별,2루,0.222,9,2,2,0,0,2,0,0,1,0
주자상황별,"1,2루",0.000,3,0,0,0,0,0,1,0,0,0
주자상황별,"1,3루",0.500,2,1,1,0,0,2,0,0,0,0
주자상황별,"2,3루",1.000,1,1,0,0,0,1,0,0,0,0
주자상황별,만루,0.200,5,1,1,0,0,5,0,0,1,0
주자상황별,주자있음,0.265,34,9,5,0,0,10,3,0,3,0
주자상황별,득점권,0.250,20,5,4,0,0,10,1,0,2,0
볼카운트별,0-0,0.250,8,2,1,0,1,3,0,1,0,0
볼카운트별,1-0,0.200,5,1,1,0,0,2,0,0,0,0
볼카운트별,2-0,0.667,3,2,0,1,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-1,0.333,12,4,3,0,0,1,0,0,0,0
볼카운트별,1-1,0.286,7,2,1,0,0,1,0,0,0,0
볼카운트별,2-1,0.250,8,2,1,0,0,2,0,0,0,0
볼카운트별,3-1,0.500,2,1,0,0,0,0,1,0,0,0
볼카운트별,0-2,0.200,10,2,0,0,0,0,0,0,4,0
볼카운트별,1-2,0.250,12,3,1,0,0,2,0,1,6,0
볼카운트별,2-2,0.182,11,2,0,0,0,0,0,0,5,0
볼카운트별,3-2,0.250,4,1,0,0,1,1,2,1,2,0
이닝별,1회,0.368,19,7,2,0,1,2,0,0,3,0
이닝별,2회,0.200,5,1,0,0,0,0,0,0,2,0
이닝별,3회,0.167,12,2,1,0,0,2,2,1,3,0
이닝별,4회,0.667,3,2,0,0,1,1,0,0,1,0
이닝별,5회,0.300,10,3,2,0,0,1,0,0,4,0
이닝별,6회,0.375,8,3,0,0,0,0,0,2,0,0
이닝별,7회,0.100,10,1,1,0,0,2,0,0,2,0
이닝별,8회,0.250,8,2,1,1,0,2,0,0,1,0
이닝별,9회,0.167,6,1,1,0,0,2,3,0,1,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,1~3회,0.278,36,10,3,0,1,4,2,1,8,0
이닝별,4~6회,0.381,21,8,2,0,1,2,0,2,5,0
이닝별,7회이후,0.160,25,4,3,1,0,6,3,0,4,0
타순별,1번타자,0.233,43,10,3,0,2,6,2,1,9,0
타순별,2번타자,0.296,27,8,5,0,0,4,1,2,5,0
타순별,3번타자,0.375,8,3,0,1,0,1,2,0,2,0
타순별,4번타자,0.250,4,1,0,0,0,1,0,0,1,0
투수유형별,좌투수,0.143,21,3,2,0,0,5,0,1,4,0
투수유형별,우투수,0.316,57,18,6,1,2,7,5,2,13,0
투수유형별,언더투수,0.250,4,1,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.412,34,14,3,1,1,3,1,1,6,0
아웃카운트별,1아웃,0.071,28,2,2,0,0,1,3,1,7,0
아웃카운트별,2아웃,0.300,20,6,3,0,1,8,1,1,4,0
