분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,한화,0.200,6,5,0,1,1,0,0,3,0,0,1,0,2,0,0.200
3월,03.29,한화,0.000,5,4,1,0,0,0,0,0,0,0,0,1,2,0,0.111
3월,03.31,SSG,0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.154
4월,04.01,SSG,0.500,6,6,3,3,3,0,0,3,0,0,0,0,1,0,0.263
4월,04.02,SSG,0.000,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0.227
4월,04.03,LG,0.500,4,4,1,2,0,0,0,1,1,0,0,0,1,0,0.269
4월,04.04,LG,0.200,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0.258
4월,04.05,LG,0.000,5,3,0,0,0,0,0,0,2,0,1,1,0,0,0.235
4월,04.07,두산,0.250,5,4,1,1,0,0,0,1,0,0,1,0,1,0,0.237
4월,04.08,두산,0.500,5,4,1,2,0,1,0,0,0,0,1,0,1,0,0.262
4월,04.10,롯데,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0.261
4월,04.11,롯데,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.260
4월,04.12,롯데,0.333,4,3,2,1,0,0,1,1,0,0,1,0,1,0,0.264
4월,04.14,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.246
4월,04.15,KIA,0.400,5,5,2,2,0,0,1,1,1,0,0,0,0,0,0.258
4월,04.16,KIA,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.258
4월,04.17,KT,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0.257
4월,04.18,KT,0.200,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0.253
4월,04.19,KT,0.400,5,5,0,2,1,0,0,1,0,0,0,0,0,0,0.263
4월,04.21,NC,0.500,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0.268
