분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.000,11,7,2,0,0,0,0,0,0,0,4,0,1,0
상대팀별,LG,2,0.400,6,5,1,2,1,0,0,1,0,0,1,0,1,1
상대팀별,NC,3,0.429,10,7,2,3,1,0,2,6,0,0,3,0,2,0
상대팀별,두산,3,0.077,14,13,1,1,0,0,0,1,0,0,1,0,7,0
상대팀별,롯데,2,0.250,9,8,1,2,1,0,0,2,0,0,1,0,3,1
상대팀별,삼성,3,0.375,11,8,1,3,0,0,0,0,0,0,3,0,0,0
상대팀별,키움,3,0.200,12,10,3,2,1,0,1,1,0,0,2,0,2,2
상대팀별,한화,3,0.333,17,15,5,5,1,0,3,8,0,0,1,0,4,0
구장별,대전,3,0.333,17,15,5,5,1,0,3,8,0,0,1,0,4,0
구장별,사직,2,0.250,9,8,1,2,1,0,0,2,0,0,1,0,3,1
구장별,수원,12,0.158,48,38,7,6,1,0,1,2,0,0,10,0,10,2
구장별,잠실,2,0.400,6,5,1,2,1,0,0,1,0,0,1,0,1,1
구장별,창원,3,0.429,10,7,2,3,1,0,2,6,0,0,3,0,2,0
월별,3~4월,22,0.247,90,73,16,18,5,0,6,19,0,0,16,0,20,4
요일별,화,4,0.385,17,13,3,5,2,0,1,4,0,0,3,0,1,0
요일별,수,4,0.154,15,13,3,2,0,0,2,4,0,0,2,0,3,1
요일별,목,3,0.273,15,11,4,3,1,0,2,8,0,0,4,0,6,0
요일별,금,3,0.364,14,11,2,4,1,0,1,1,0,0,3,0,3,0
요일별,토,4,0.182,13,11,1,2,0,0,0,0,0,0,2,0,6,1
요일별,일,4,0.143,16,14,3,2,1,0,0,2,0,0,2,0,1,2
홈/방문별,홈,12,0.158,48,38,7,6,1,0,1,2,0,0,10,0,10,2
홈/방문별,방문,10,0.343,42,35,9,12,4,0,5,17,0,0,6,0,10,2
주/야간별,주간,4,0.231,14,13,2,3,1,0,0,2,0,0,1,0,2,1
주/야간별,야간,18,0.250,76,60,14,15,4,0,6,17,0,0,15,0,18,3
기간별,전반기,22,0.247,90,73,16,18,5,0,6,19,0,0,16,0,20,4
