분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.212,33,7,2,0,2,2,8,0,7,0
주자상황별,1루,0.333,15,5,1,0,2,4,3,0,4,2
주자상황별,2루,0.444,9,4,1,0,1,5,2,0,3,0
주자상황별,3루,-,0,0,0,0,0,1,0,0,0,0
주자상황별,"1,2루",0.000,10,0,0,0,0,0,3,0,5,2
주자상황별,"1,3루",0.000,2,0,0,0,0,0,0,0,0,0
주자상황별,"2,3루",0.500,2,1,1,0,0,3,0,0,0,0
주자상황별,만루,0.500,2,1,0,0,1,4,0,0,1,0
주자상황별,주자있음,0.275,40,11,3,0,4,17,8,0,13,4
주자상황별,득점권,0.240,25,6,2,0,2,13,5,0,9,2
볼카운트별,0-0,0.667,3,2,1,0,0,3,2,0,0,0
볼카운트별,1-0,0.143,7,1,0,0,1,2,0,0,0,0
볼카운트별,2-0,0.750,4,3,1,0,2,8,0,0,0,0
볼카운트별,0-1,0.250,4,1,1,0,0,0,0,0,0,2
볼카운트별,1-1,0.444,9,4,1,0,3,4,0,0,0,1
볼카운트별,2-1,0.200,5,1,0,0,0,1,0,0,0,0
볼카운트별,3-1,0.333,3,1,1,0,0,0,5,0,0,0
볼카운트별,0-2,0.250,4,1,0,0,0,0,0,0,2,0
볼카운트별,1-2,0.222,9,2,0,0,0,0,0,0,7,0
볼카운트별,2-2,0.143,14,2,0,0,0,0,0,0,6,1
볼카운트별,3-2,0.000,11,0,0,0,0,1,9,0,5,0
이닝별,1회,0.556,9,5,2,0,2,6,2,0,3,1
이닝별,2회,0.222,9,2,0,0,0,0,0,0,2,0
이닝별,3회,0.182,11,2,1,0,1,5,1,0,3,0
이닝별,4회,0.167,6,1,0,0,0,0,0,0,1,1
이닝별,5회,0.250,8,2,1,0,0,1,1,0,3,0
이닝별,6회,0.300,10,3,0,0,1,3,1,0,1,2
이닝별,7회,0.167,6,1,0,0,1,2,7,0,2,0
이닝별,8회,0.125,8,1,0,0,1,1,1,0,3,0
이닝별,9회,0.200,5,1,1,0,0,1,3,0,1,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,1,0
이닝별,1~3회,0.310,29,9,3,0,3,11,3,0,8,1
이닝별,4~6회,0.250,24,6,1,0,1,4,2,0,5,3
이닝별,7회이후,0.150,20,3,1,0,2,4,11,0,7,0
타순별,3번타자,0.000,4,0,0,0,0,0,0,0,2,1
타순별,4번타자,0.217,23,5,2,0,3,7,9,0,5,2
타순별,5번타자,0.279,43,12,3,0,3,12,7,0,12,1
타순별,6번타자,0.500,2,1,0,0,0,0,0,0,1,0
타순별,8번타자,0.000,1,0,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.130,23,3,1,0,1,5,6,0,7,1
투수유형별,우투수,0.304,46,14,3,0,5,14,10,0,11,3
투수유형별,언더투수,0.250,4,1,1,0,0,0,0,0,2,0
아웃카운트별,0아웃,0.143,21,3,0,0,2,3,3,0,7,1
아웃카운트별,1아웃,0.310,29,9,4,0,1,8,5,0,6,3
아웃카운트별,2아웃,0.261,23,6,1,0,3,8,8,0,7,0
