연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2009,롯데,0.265,44,112,98,14,26,6,0,1,35,12,3,0,8,1,26,8,0.357,0.318,3
2010,롯데,0.180,61,108,100,5,18,4,0,1,25,7,0,1,6,0,27,0,0.250,0.226,5
2011,롯데,0.258,64,73,62,6,16,0,0,0,16,6,0,0,10,0,17,1,0.258,0.356,3
2014,롯데,0.274,43,99,84,10,23,4,0,1,30,9,0,0,12,1,19,1,0.357,0.364,0
2015,KT,0.284,133,491,433,55,123,20,1,13,184,77,1,2,46,0,85,12,0.425,0.346,8
2017,KT,0.231,118,348,294,28,68,11,1,8,105,46,0,4,43,2,59,13,0.357,0.328,7
2018,KT,0.258,127,393,356,41,92,13,0,13,144,48,1,1,32,2,82,8,0.404,0.321,9
2019,KT,0.262,127,413,366,25,96,7,0,7,124,41,0,1,35,2,86,11,0.339,0.325,5
2020,KT,0.278,130,455,400,39,111,15,0,13,165,79,0,0,38,1,64,15,0.413,0.337,3
2021,KT,0.231,127,460,385,46,89,13,0,14,144,63,1,2,60,3,69,16,0.374,0.337,7
2022,KT,0.260,117,420,362,48,94,11,0,18,159,55,1,0,52,2,79,12,0.439,0.353,7
2023,KT,0.288,131,464,410,37,118,22,0,11,173,65,1,1,42,2,70,12,0.422,0.351,6
2024,KT,0.268,131,489,418,53,112,19,0,19,188,81,5,0,60,1,86,8,0.450,0.355,2
2025,KT,0.247,129,480,413,44,102,13,0,14,157,58,0,1,55,2,96,13,0.380,0.333,5
2026,KT,0.247,22,90,73,16,18,5,0,6,41,19,0,0,16,0,20,4,0.562,0.378,0
