분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,2,0.444,10,9,0,4,0,0,0,1,0,1,1,0,2,0
상대팀별,LG,3,0.000,13,13,0,0,0,0,0,0,0,0,0,0,4,0
상대팀별,NC,3,0.182,13,11,2,2,1,0,0,1,0,0,1,0,1,0
상대팀별,SSG,3,0.125,12,8,1,1,0,0,0,0,0,0,4,0,0,0
상대팀별,두산,3,0.182,12,11,1,2,0,0,0,0,0,0,1,0,1,0
상대팀별,삼성,2,0.375,8,8,1,3,0,0,1,1,0,0,0,0,1,0
상대팀별,키움,3,0.167,12,12,0,2,0,0,0,0,0,0,0,0,2,1
상대팀별,한화,2,0.333,6,6,0,2,1,0,0,0,0,0,0,0,0,1
구장별,고척,3,0.167,12,12,0,2,0,0,0,0,0,0,0,0,2,1
구장별,대구,2,0.375,8,8,1,3,0,0,1,1,0,0,0,0,1,0
구장별,사직,10,0.265,40,34,2,9,1,0,0,1,0,1,6,0,3,1
구장별,잠실,3,0.000,13,13,0,0,0,0,0,0,0,0,0,0,4,0
구장별,창원,3,0.182,13,11,2,2,1,0,0,1,0,0,1,0,1,0
월별,3~4월,21,0.205,86,78,5,16,2,0,1,3,0,1,7,0,11,2
요일별,화,4,0.200,17,15,2,3,1,0,0,0,0,1,2,0,2,0
요일별,수,4,0.235,18,17,1,4,0,0,0,1,0,0,1,0,3,0
요일별,목,3,0.083,13,12,0,1,0,0,0,1,0,0,0,0,3,0
요일별,금,2,0.000,7,6,0,0,0,0,0,0,0,0,1,0,2,1
요일별,토,4,0.267,17,15,2,4,1,0,1,1,0,0,2,0,0,1
요일별,일,4,0.308,14,13,0,4,0,0,0,0,0,0,1,0,1,0
홈/방문별,홈,10,0.265,40,34,2,9,1,0,0,1,0,1,6,0,3,1
홈/방문별,방문,11,0.159,46,44,3,7,1,0,1,2,0,0,1,0,8,1
주/야간별,주간,5,0.294,18,17,1,5,0,0,1,1,0,0,1,0,1,0
주/야간별,야간,16,0.180,68,61,4,11,2,0,0,2,0,1,6,0,10,2
기간별,전반기,21,0.205,86,78,5,16,2,0,1,3,0,1,7,0,11,2
