분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.227,44,10,2,0,1,1,4,0,4,0
주자상황별,1루,0.286,14,4,0,0,0,0,0,0,4,1
주자상황별,2루,0.000,8,0,0,0,0,0,1,0,1,0
주자상황별,3루,0.000,2,0,0,0,0,0,0,0,1,0
주자상황별,"1,2루",0.125,8,1,0,0,0,0,2,0,1,1
주자상황별,"1,3루",0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,"2,3루",1.000,1,1,0,0,0,2,0,0,0,0
주자상황별,주자있음,0.176,34,6,0,0,0,2,3,0,7,2
주자상황별,득점권,0.100,20,2,0,0,0,2,3,0,3,1
볼카운트별,0-0,0.100,10,1,0,0,0,0,0,0,0,2
볼카운트별,1-0,0.182,11,2,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.333,3,1,0,0,0,1,0,0,0,0
볼카운트별,1-1,0.250,8,2,1,0,0,0,0,0,0,0
볼카운트별,2-1,0.250,4,1,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,0,3,0,0,0
볼카운트별,0-2,0.667,9,6,1,0,1,1,0,0,3,0
볼카운트별,1-2,0.056,18,1,0,0,0,1,0,0,6,0
볼카운트별,2-2,0.222,9,2,0,0,0,0,0,0,1,0
볼카운트별,3-2,0.000,5,0,0,0,0,0,3,0,1,0
이닝별,1회,0.111,9,1,0,0,0,0,2,0,2,1
이닝별,2회,0.556,9,5,2,0,0,0,1,0,0,0
이닝별,3회,0.200,10,2,0,0,0,0,0,0,1,0
이닝별,4회,0.083,12,1,0,0,0,0,1,0,4,1
이닝별,5회,0.200,5,1,0,0,0,0,0,0,1,0
이닝별,6회,0.300,10,3,0,0,0,0,2,0,1,0
이닝별,7회,0.000,7,0,0,0,0,0,0,0,1,0
이닝별,8회,0.222,9,2,0,0,1,3,0,0,0,0
이닝별,9회,0.143,7,1,0,0,0,0,1,0,1,0
이닝별,1~3회,0.286,28,8,2,0,0,0,3,0,3,1
이닝별,4~6회,0.185,27,5,0,0,0,0,3,0,6,1
이닝별,7회이후,0.130,23,3,0,0,1,3,1,0,2,0
타순별,3번타자,0.174,23,4,0,0,0,1,3,0,5,0
타순별,4번타자,0.273,22,6,1,0,1,2,2,0,2,0
타순별,5번타자,0.172,29,5,1,0,0,0,1,0,3,2
타순별,6번타자,0.250,4,1,0,0,0,0,1,0,1,0
투수유형별,좌투수,0.217,23,5,1,0,0,1,2,0,2,1
투수유형별,우투수,0.154,52,8,1,0,0,0,4,0,9,1
투수유형별,언더투수,1.000,3,3,0,0,1,2,1,0,0,0
아웃카운트별,0아웃,0.207,29,6,1,0,1,1,4,0,2,0
아웃카운트별,1아웃,0.200,25,5,1,0,0,0,1,0,3,2
아웃카운트별,2아웃,0.208,24,5,0,0,0,2,2,0,6,0
