분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,삼성,0.250,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0.250
3월,03.29,삼성,0.500,4,4,0,2,0,0,0,0,0,0,0,0,1,0,0.375
3월,03.31,NC,0.500,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0.417
4월,04.01,NC,0.000,5,4,1,0,0,0,0,0,0,0,1,0,1,0,0.313
4월,04.02,NC,0.000,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0.263
4월,04.03,SSG,0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0.238
4월,04.04,SSG,0.000,5,3,1,0,0,0,0,0,0,0,2,0,0,0,0.208
4월,04.05,SSG,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.222
4월,04.07,KT,0.250,5,4,0,1,0,0,0,0,0,1,1,0,1,0,0.226
4월,04.08,KT,0.600,5,5,0,3,0,0,0,1,0,0,0,0,1,0,0.278
4월,04.10,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,1,0.250
4월,04.11,키움,0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0.273
4월,04.12,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.250
4월,04.14,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.231
4월,04.15,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.214
4월,04.16,LG,0.000,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0.197
4월,04.18,한화,0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,1,0.200
4월,04.19,한화,0.500,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.209
4월,04.21,두산,0.000,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0.200
4월,04.22,두산,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.203
4월,04.23,두산,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.205
