연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2008,롯데,0.100,15,35,30,3,3,3,0,0,6,3,0,0,5,0,9,1,0.200,0.229,2
2009,롯데,0.220,26,66,59,12,13,3,0,2,22,9,1,0,5,1,16,1,0.373,0.288,1
2010,롯데,0.289,114,394,350,56,101,14,2,19,176,57,16,7,26,8,89,7,0.503,0.347,2
2011,롯데,0.301,133,601,539,97,162,38,5,11,243,64,23,9,50,7,101,14,0.451,0.366,6
2012,롯데,0.253,122,520,459,63,116,22,4,7,167,38,21,8,45,7,103,16,0.364,0.327,6
2013,롯데,0.275,128,537,455,65,125,25,1,7,173,66,19,8,65,5,77,15,0.380,0.367,6
2014,롯데,0.292,113,470,415,69,121,23,2,14,190,66,7,4,34,9,71,10,0.458,0.356,2
2016,롯데,0.253,25,113,99,16,25,7,0,2,38,10,3,3,7,6,25,4,0.384,0.339,0
2017,롯데,0.321,110,496,455,76,146,27,1,18,229,69,2,4,30,7,70,11,0.503,0.370,0
2018,롯데,0.342,144,614,556,118,190,36,2,33,329,90,7,7,48,7,82,12,0.592,0.400,3
2019,롯데,0.301,141,606,545,85,164,30,1,22,262,83,8,2,46,7,71,19,0.481,0.359,4
2020,롯데,0.279,143,628,562,95,157,34,1,26,271,96,5,5,52,8,79,21,0.482,0.347,5
2021,롯데,0.348,144,619,552,88,192,46,0,7,259,92,6,3,53,5,71,10,0.469,0.405,0
2022,롯데,0.304,120,517,470,73,143,31,1,11,209,68,6,3,35,3,73,14,0.445,0.350,2
2023,롯데,0.312,138,559,493,80,154,21,3,17,232,77,9,2,52,7,65,12,0.471,0.381,2
2024,롯데,0.293,109,483,423,57,124,26,2,17,205,82,3,1,49,5,84,11,0.485,0.369,1
2025,롯데,0.293,114,472,410,50,120,26,1,8,172,70,2,1,44,9,71,9,0.420,0.369,0
2026,롯데,0.205,21,86,78,5,16,2,0,1,21,3,0,1,7,0,11,2,0.269,0.267,1
