분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.286,8,7,0,2,0,0,0,1,1,0,0,1,1,0
상대팀별,KT,3,0.111,11,9,1,1,0,0,0,0,0,0,1,1,1,0
상대팀별,NC,2,0.143,9,7,1,1,0,0,0,1,2,0,2,0,2,0
상대팀별,SSG,3,0.182,11,11,1,2,0,0,0,0,0,0,0,0,3,0
상대팀별,롯데,3,0.364,11,11,2,4,0,0,2,7,0,0,0,0,2,0
상대팀별,삼성,3,0.333,13,12,0,4,0,0,0,1,1,0,1,0,3,0
상대팀별,키움,2,0.000,10,7,0,0,0,0,0,0,0,0,2,0,1,0
상대팀별,한화,3,0.200,14,10,2,2,0,0,0,0,0,0,4,0,1,0
구장별,대구,3,0.333,13,12,0,4,0,0,0,1,1,0,1,0,3,0
구장별,문학,3,0.182,11,11,1,2,0,0,0,0,0,0,0,0,3,0
구장별,사직,3,0.364,11,11,2,4,0,0,2,7,0,0,0,0,2,0
구장별,수원,3,0.111,11,9,1,1,0,0,0,0,0,0,1,1,1,0
구장별,잠실,8,0.167,32,24,2,4,0,0,0,1,1,0,6,1,3,0
구장별,창원,2,0.143,9,7,1,1,0,0,0,1,2,0,2,0,2,0
월별,3~4월,22,0.216,87,74,7,16,0,0,2,10,4,0,10,2,14,0
요일별,화,4,0.222,20,18,2,4,0,0,1,5,1,0,2,0,5,0
요일별,수,4,0.385,15,13,1,5,0,0,1,3,0,0,1,0,0,0
요일별,목,3,0.100,10,10,0,1,0,0,0,0,0,0,0,0,4,0
요일별,금,3,0.000,8,5,2,0,0,0,0,0,0,0,3,0,0,0
요일별,토,4,0.333,16,12,1,4,0,0,0,1,1,0,2,2,2,0
요일별,일,4,0.125,18,16,1,2,0,0,0,1,2,0,2,0,3,0
홈/방문별,홈,8,0.167,32,24,2,4,0,0,0,1,1,0,6,1,3,0
홈/방문별,방문,14,0.240,55,50,5,12,0,0,2,9,3,0,4,1,11,0
주/야간별,주간,6,0.136,26,22,1,3,0,0,0,1,2,0,4,0,5,0
주/야간별,야간,16,0.250,61,52,6,13,0,0,2,9,2,0,6,2,9,0
기간별,전반기,22,0.216,87,74,7,16,0,0,2,10,4,0,10,2,14,0
