분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.190,42,8,0,0,1,1,5,1,7,0
주자상황별,1루,0.071,14,1,0,0,0,0,2,1,2,0
주자상황별,2루,0.000,4,0,0,0,0,0,2,0,1,0
주자상황별,3루,0.250,4,1,0,0,0,1,0,0,1,0
주자상황별,"1,2루",0.500,4,2,0,0,1,3,1,0,2,0
주자상황별,"1,3루",0.667,3,2,0,0,0,2,0,0,1,0
주자상황별,"2,3루",1.000,1,1,0,0,0,1,0,0,0,0
주자상황별,만루,0.500,2,1,0,0,0,2,0,0,0,0
주자상황별,주자있음,0.250,32,8,0,0,1,9,5,1,7,0
주자상황별,득점권,0.389,18,7,0,0,1,9,3,0,5,0
볼카운트별,0-0,0.600,5,3,0,0,1,2,0,0,0,0
볼카운트별,1-0,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,2-0,0.333,3,1,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.125,8,1,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.333,6,2,0,0,0,1,0,0,0,0
볼카운트별,2-1,0.667,3,2,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.000,3,0,0,0,0,0,2,0,0,0
볼카운트별,0-2,0.333,6,2,0,0,1,3,0,1,1,0
볼카운트별,1-2,0.143,14,2,0,0,0,1,0,1,7,0
볼카운트별,2-2,0.250,12,3,0,0,0,3,0,0,2,0
볼카운트별,3-2,0.000,12,0,0,0,0,0,7,0,4,0
이닝별,1회,0.143,7,1,0,0,0,0,2,0,1,0
이닝별,2회,0.200,5,1,0,0,0,2,0,1,2,0
이닝별,3회,0.167,12,2,0,0,0,2,0,0,4,0
이닝별,4회,0.250,8,2,0,0,0,0,0,0,1,0
이닝별,5회,0.200,10,2,0,0,1,1,2,0,1,0
이닝별,6회,0.143,7,1,0,0,0,1,1,1,1,0
이닝별,7회,0.125,8,1,0,0,0,0,2,0,3,0
이닝별,8회,0.500,10,5,0,0,0,1,2,0,0,0
이닝별,9회,0.167,6,1,0,0,1,3,1,0,1,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,1~3회,0.167,24,4,0,0,0,4,2,1,7,0
이닝별,4~6회,0.200,25,5,0,0,1,2,3,1,3,0
이닝별,7회이후,0.280,25,7,0,0,1,4,5,0,4,0
타순별,2번타자,0.194,36,7,0,0,0,2,9,0,7,0
타순별,8번타자,0.000,3,0,0,0,0,0,0,0,1,0
타순별,9번타자,0.257,35,9,0,0,2,8,1,2,6,0
투수유형별,좌투수,0.227,22,5,0,0,1,4,4,0,5,0
투수유형별,우투수,0.212,52,11,0,0,1,6,6,2,9,0
아웃카운트별,0아웃,0.389,18,7,0,0,1,3,6,1,2,0
아웃카운트별,1아웃,0.192,26,5,0,0,0,1,2,1,6,0
아웃카운트별,2아웃,0.133,30,4,0,0,1,6,2,0,6,0
