분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,NC,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.000
3월,03.29,NC,0.250,5,4,1,1,0,0,0,1,2,0,1,0,1,0,0.143
3월,03.31,삼성,0.200,6,5,0,1,0,0,0,1,1,0,1,0,1,0,0.167
4월,04.01,삼성,0.667,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0.267
4월,04.02,삼성,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.263
4월,04.03,한화,0.000,5,3,2,0,0,0,0,0,0,0,2,0,0,0,0.227
4월,04.04,한화,0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0.240
4월,04.05,한화,0.250,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0.241
4월,04.07,키움,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.212
4월,04.08,키움,0.000,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0.194
4월,04.10,KT,0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0.184
4월,04.11,KT,0.333,4,3,1,1,0,0,0,0,0,0,0,1,0,0,0.195
4월,04.12,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.178
4월,04.14,SSG,0.200,5,5,1,1,0,0,0,0,0,0,0,0,2,0,0.180
4월,04.15,SSG,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.189
4월,04.16,SSG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.179
4월,04.17,KIA,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179
4월,04.18,KIA,0.667,4,3,0,2,0,0,0,1,1,0,0,1,0,0,0.203
4월,04.19,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.190
4월,04.21,롯데,0.500,4,4,1,2,0,0,1,4,0,0,0,0,1,0,0.209
4월,04.22,롯데,0.500,4,4,1,2,0,0,1,3,0,0,0,0,0,0,0.225
4월,04.23,롯데,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.216
