분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.300,11,10,2,3,0,0,1,2,0,0,1,0,2,0
상대팀별,KT,3,0.250,13,12,1,3,0,0,0,1,1,0,0,1,2,1
상대팀별,LG,3,0.300,12,10,1,3,0,0,0,2,0,0,2,0,2,0
상대팀별,SSG,2,0.000,9,9,0,0,0,0,0,1,0,0,0,0,3,0
상대팀별,두산,3,0.455,14,11,2,5,1,0,0,2,0,0,1,1,2,0
상대팀별,롯데,2,0.222,10,9,0,2,0,0,0,0,0,0,1,0,1,0
상대팀별,삼성,3,0.091,12,11,0,1,0,0,0,0,0,0,1,0,2,0
상대팀별,키움,2,0.375,10,8,3,3,0,0,1,2,0,0,1,0,2,0
구장별,대전,11,0.244,46,41,6,10,0,0,2,5,1,0,3,1,8,1
구장별,문학,2,0.000,9,9,0,0,0,0,0,1,0,0,0,0,3,0
구장별,사직,2,0.222,10,9,0,2,0,0,0,0,0,0,1,0,1,0
구장별,잠실,6,0.381,26,21,3,8,1,0,0,4,0,0,3,1,4,0
월별,3~4월,21,0.250,91,80,9,20,1,0,2,10,1,0,7,2,16,1
요일별,화,4,0.235,18,17,0,4,0,0,0,3,0,0,1,0,1,1
요일별,수,4,0.125,17,16,1,2,0,0,0,1,1,0,0,1,5,0
요일별,목,3,0.111,11,9,1,1,0,0,0,0,0,0,2,0,3,0
요일별,금,2,0.625,9,8,2,5,1,0,1,3,0,0,0,1,1,0
요일별,토,4,0.438,19,16,4,7,0,0,1,2,0,0,2,0,2,0
요일별,일,4,0.071,17,14,1,1,0,0,0,1,0,0,2,0,4,0
홈/방문별,홈,11,0.244,46,41,6,10,0,0,2,5,1,0,3,1,8,1
홈/방문별,방문,10,0.256,45,39,3,10,1,0,0,5,0,0,4,1,8,0
주/야간별,주간,7,0.240,31,25,5,6,0,0,1,3,0,0,4,0,5,0
주/야간별,야간,14,0.255,60,55,4,14,1,0,1,7,1,0,3,2,11,1
기간별,전반기,21,0.250,91,80,9,20,1,0,2,10,1,0,7,2,16,1
