분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.213,47,10,0,0,2,2,4,1,11,0
주자상황별,1루,0.333,18,6,1,0,0,0,3,1,2,1
주자상황별,2루,0.333,3,1,0,0,0,1,0,0,0,0
주자상황별,3루,0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,"1,2루",0.333,3,1,0,0,0,1,0,0,0,0
주자상황별,"1,3루",0.333,3,1,0,0,0,3,0,0,0,0
주자상황별,"2,3루",0.333,3,1,0,0,0,2,0,0,1,0
주자상황별,만루,0.000,2,0,0,0,0,1,0,0,1,0
주자상황별,주자있음,0.303,33,10,1,0,0,8,3,1,5,1
주자상황별,득점권,0.267,15,4,0,0,0,8,0,0,3,0
볼카운트별,0-0,0.286,7,2,0,0,0,1,0,1,0,0
볼카운트별,1-0,0.200,5,1,0,0,0,0,0,0,0,0
볼카운트별,2-0,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,3,0,0,0
볼카운트별,0-1,0.182,11,2,1,0,0,1,0,1,0,0
볼카운트별,1-1,0.500,8,4,0,0,0,1,0,0,0,0
볼카운트별,2-1,0.500,2,1,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,0,1,0,0,0
볼카운트별,0-2,0.167,12,2,0,0,0,1,0,0,6,1
볼카운트별,1-2,0.286,14,4,0,0,1,3,0,0,4,0
볼카운트별,2-2,0.154,13,2,0,0,0,2,0,0,4,0
볼카운트별,3-2,0.333,6,2,0,0,1,1,3,0,2,0
이닝별,1회,0.500,2,1,0,0,0,0,0,0,0,0
이닝별,2회,0.111,18,2,0,0,1,1,0,1,3,0
이닝별,3회,0.100,10,1,0,0,0,0,0,0,2,0
이닝별,4회,0.667,9,6,0,0,1,2,2,0,1,0
이닝별,5회,0.111,9,1,0,0,0,1,0,0,1,0
이닝별,6회,0.222,9,2,0,0,0,1,1,0,2,0
이닝별,7회,0.375,8,3,1,0,0,3,1,0,3,0
이닝별,8회,0.500,6,3,0,0,0,1,3,0,2,0
이닝별,9회,0.125,8,1,0,0,0,1,0,1,2,1
이닝별,연장,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,1~3회,0.133,30,4,0,0,1,1,0,1,5,0
이닝별,4~6회,0.333,27,9,0,0,1,4,3,0,4,0
이닝별,7회이후,0.304,23,7,1,0,0,5,4,1,7,1
타순별,5번타자,0.212,33,7,0,0,0,2,3,0,5,0
타순별,6번타자,0.277,47,13,1,0,2,8,4,2,11,1
투수유형별,좌투수,0.200,15,3,0,0,0,2,5,0,5,0
투수유형별,우투수,0.246,61,15,1,0,2,7,2,2,10,1
투수유형별,언더투수,0.500,4,2,0,0,0,1,0,0,1,0
아웃카운트별,0아웃,0.154,26,4,1,0,1,1,3,1,6,0
아웃카운트별,1아웃,0.300,30,9,0,0,1,4,3,0,4,1
아웃카운트별,2아웃,0.292,24,7,0,0,0,5,1,1,6,0
