분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,키움,0.500,5,4,2,2,0,0,1,1,0,0,1,0,0,0,0.500
3월,03.29,키움,0.250,5,4,1,1,0,0,0,1,0,0,0,0,2,0,0.375
3월,03.31,KT,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,1,0.308
4월,04.01,KT,0.400,6,5,1,2,0,0,0,1,1,0,0,1,1,0,0.333
4월,04.02,KT,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.300
4월,04.03,두산,0.750,5,4,1,3,1,0,0,1,0,0,0,1,0,0,0.375
4월,04.04,두산,0.500,5,4,1,2,0,0,0,1,0,0,0,0,1,0,0.393
4월,04.05,두산,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.355
4월,04.07,SSG,0.000,5,5,0,0,0,0,0,1,0,0,0,0,1,0,0.306
4월,04.08,SSG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.275
4월,04.10,KIA,0.500,4,4,1,2,0,0,1,2,0,0,0,0,1,0,0.295
4월,04.11,KIA,0.333,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0.298
4월,04.12,KIA,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.280
4월,04.14,삼성,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.264
4월,04.15,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.246
4월,04.16,삼성,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.246
4월,04.18,롯데,0.400,5,5,0,2,0,0,0,0,0,0,0,0,1,0,0.258
4월,04.19,롯데,0.000,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0.243
4월,04.21,LG,0.750,4,4,0,3,0,0,0,2,0,0,0,0,0,0,0.270
4월,04.22,LG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.260
4월,04.23,LG,0.000,5,3,1,0,0,0,0,0,0,0,2,0,1,0,0.250
