연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2014,LG,0.277,62,197,159,18,44,11,1,1,60,15,5,3,21,10,36,3,0.377,0.385,1
2015,LG,0.249,90,198,173,25,43,11,2,4,70,20,3,3,14,5,39,4,0.405,0.318,1
2016,LG,0.313,128,451,403,64,126,20,3,9,179,81,7,3,31,7,75,9,0.444,0.365,4
2017,LG,0.267,114,372,333,28,89,12,3,2,113,35,5,6,17,11,66,8,0.339,0.323,3
2018,LG,0.331,139,578,529,78,175,36,2,25,290,119,3,1,35,9,97,12,0.548,0.379,3
2019,LG,0.315,128,514,470,59,148,18,1,12,204,72,2,2,24,12,67,9,0.434,0.358,2
2020,LG,0.293,109,464,416,59,122,17,2,15,188,88,0,3,32,9,69,12,0.452,0.351,2
2021,LG,0.276,110,448,387,59,107,20,0,16,175,82,4,2,38,16,80,9,0.452,0.359,1
2022,LG,0.296,126,526,467,48,138,26,2,12,204,83,6,7,27,21,88,16,0.437,0.354,10
2023,한화,0.263,137,596,521,71,137,17,0,23,223,84,0,0,52,20,102,16,0.428,0.351,5
2024,한화,0.271,124,498,436,61,118,24,0,20,202,83,1,1,49,8,83,12,0.463,0.351,7
2025,한화,0.288,132,527,480,54,138,27,1,19,224,88,1,2,31,13,96,4,0.467,0.347,6
2026,한화,0.250,21,91,80,9,20,1,0,2,27,10,1,0,7,2,16,1,0.338,0.319,4
