분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.600,7,5,1,3,1,0,0,1,0,0,2,0,0,0
상대팀별,KT,1,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0
상대팀별,NC,2,0.333,6,6,1,2,1,0,1,2,0,0,0,0,1,1
상대팀별,SSG,3,0.273,14,11,4,3,0,0,0,2,1,0,1,1,1,1
상대팀별,롯데,3,0.286,8,7,1,2,1,0,0,1,0,0,1,0,2,0
상대팀별,삼성,2,0.600,6,5,1,3,0,0,0,1,1,0,1,0,0,0
상대팀별,키움,3,0.417,13,12,2,5,1,0,0,0,1,0,1,0,4,0
상대팀별,한화,3,0.273,11,11,2,3,0,0,0,1,0,0,0,0,1,1
구장별,고척,3,0.417,13,12,2,5,1,0,0,0,1,0,1,0,4,0
구장별,대구,2,0.600,6,5,1,3,0,0,0,1,1,0,1,0,0,0
구장별,잠실,13,0.324,41,34,8,11,2,0,0,5,1,0,5,1,4,2
구장별,창원,2,0.333,6,6,1,2,1,0,1,2,0,0,0,0,1,1
월별,3~4월,20,0.368,66,57,12,21,4,0,1,8,3,0,7,1,9,3
요일별,화,4,0.300,11,10,1,3,0,0,0,1,0,0,1,0,0,0
요일별,수,4,0.333,9,9,3,3,2,0,1,2,0,0,0,0,3,1
요일별,목,3,0.400,12,10,1,4,1,0,0,2,0,0,2,0,1,1
요일별,금,2,0.625,9,8,4,5,1,0,0,0,1,0,1,0,1,0
요일별,토,4,0.100,14,10,1,1,0,0,0,0,1,0,3,1,4,1
요일별,일,3,0.500,11,10,2,5,0,0,0,3,1,0,0,0,0,0
홈/방문별,홈,13,0.324,41,34,8,11,2,0,0,5,1,0,5,1,4,2
홈/방문별,방문,7,0.435,25,23,4,10,2,0,1,3,2,0,2,0,5,1
주/야간별,주간,5,0.462,16,13,2,6,0,0,0,3,2,0,2,0,0,0
주/야간별,야간,15,0.341,50,44,10,15,4,0,1,5,1,0,5,1,9,3
기간별,전반기,20,0.368,66,57,12,21,4,0,1,8,3,0,7,1,9,3
