분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.538,26,14,3,0,0,0,2,1,5,0
주자상황별,1루,0.211,19,4,0,0,1,2,1,0,2,2
주자상황별,2루,0.500,2,1,1,0,0,1,1,0,1,0
주자상황별,"1,2루",0.200,5,1,0,0,0,1,2,0,0,1
주자상황별,"1,3루",0.333,3,1,0,0,0,2,1,0,1,0
주자상황별,만루,0.000,2,0,0,0,0,2,0,0,0,0
주자상황별,주자있음,0.226,31,7,1,0,1,8,5,0,4,3
주자상황별,득점권,0.250,12,3,1,0,0,6,4,0,2,1
볼카운트별,0-0,0.100,10,1,0,0,0,1,0,0,0,2
볼카운트별,1-0,0.800,5,4,2,0,0,1,0,0,0,0
볼카운트별,2-0,1.000,3,3,0,0,0,0,0,0,0,0
볼카운트별,0-1,0.600,5,3,0,0,0,2,0,0,0,0
볼카운트별,1-1,0.250,4,1,0,0,0,1,0,0,0,0
볼카운트별,2-1,0.500,2,1,1,0,0,1,0,1,0,1
볼카운트별,3-1,0.500,2,1,1,0,0,0,4,0,0,0
볼카운트별,0-2,0.400,5,2,0,0,1,2,0,0,1,0
볼카운트별,1-2,0.222,9,2,0,0,0,0,0,0,3,0
볼카운트별,2-2,0.111,9,1,0,0,0,0,0,0,4,0
볼카운트별,3-2,0.667,3,2,0,0,0,0,3,0,1,0
이닝별,1회,0.400,5,2,0,0,0,0,0,0,1,0
이닝별,2회,0.500,12,6,2,0,0,2,0,0,1,0
이닝별,3회,0.000,2,0,0,0,0,0,0,1,1,0
이닝별,4회,0.417,12,5,0,0,0,3,1,0,3,1
이닝별,5회,0.200,5,1,0,0,0,1,0,0,0,2
이닝별,6회,0.286,7,2,0,0,1,2,3,0,1,0
이닝별,7회,0.286,7,2,0,0,0,0,1,0,0,0
이닝별,8회,0.400,5,2,2,0,0,0,2,0,2,0
이닝별,9회,0.500,2,1,0,0,0,0,0,0,0,0
이닝별,1~3회,0.421,19,8,2,0,0,2,0,1,3,0
이닝별,4~6회,0.333,24,8,0,0,1,6,4,0,4,3
이닝별,7회이후,0.357,14,5,2,0,0,0,3,0,2,0
타순별,1번타자,0.267,15,4,0,0,0,2,1,1,1,1
타순별,5번타자,0.500,4,2,1,0,1,2,1,0,1,1
타순별,6번타자,0.417,24,10,1,0,0,3,2,0,2,1
타순별,7번타자,0.273,11,3,1,0,0,1,2,0,4,0
타순별,8번타자,1.000,2,2,1,0,0,0,1,0,0,0
타순별,9번타자,0.000,1,0,0,0,0,0,0,0,1,0
투수유형별,좌투수,0.250,12,3,0,0,0,1,1,1,3,1
투수유형별,우투수,0.400,45,18,4,0,1,7,6,0,6,2
아웃카운트별,0아웃,0.412,17,7,1,0,0,0,2,0,3,2
아웃카운트별,1아웃,0.296,27,8,2,0,1,6,2,1,4,1
아웃카운트별,2아웃,0.462,13,6,1,0,0,2,3,0,2,0
