분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KT,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000
3월,03.31,KIA,1.000,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1.000
4월,04.01,KIA,1.000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.000
4월,04.02,KIA,0.333,4,3,0,1,0,0,0,1,0,0,1,0,0,0,0.600
4월,04.03,키움,0.500,4,4,0,2,1,0,0,0,0,0,0,0,1,0,0.556
4월,04.04,키움,0.000,5,4,1,0,0,0,0,0,0,0,1,0,3,0,0.385
4월,04.05,키움,0.750,4,4,1,3,0,0,0,0,1,0,0,0,0,0,0.471
4월,04.07,NC,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.421
4월,04.08,NC,0.500,4,4,1,2,1,0,1,2,0,0,0,0,1,1,0.435
4월,04.10,SSG,0.750,5,4,4,3,0,0,0,0,1,0,1,0,0,0,0.481
4월,04.11,SSG,0.000,4,3,0,0,0,0,0,0,0,0,0,1,1,1,0.433
4월,04.12,SSG,0.000,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0.382
4월,04.14,롯데,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.368
4월,04.15,롯데,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.359
4월,04.16,롯데,0.500,3,2,1,1,1,0,0,1,0,0,1,0,1,0,0.366
4월,04.18,삼성,0.333,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0.364
4월,04.19,삼성,1.000,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0.391
4월,04.21,한화,0.333,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0.388
4월,04.22,한화,0.000,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0.365
4월,04.23,한화,0.400,5,5,0,2,0,0,0,0,0,0,0,0,0,1,0.368
