분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.231,15,13,3,3,0,0,0,1,1,0,2,0,3,0
상대팀별,LG,2,0.333,11,9,0,3,0,0,0,0,0,2,2,0,1,0
상대팀별,NC,3,0.385,14,13,2,5,0,0,0,0,0,0,1,0,2,0
상대팀별,두산,2,0.143,11,7,1,1,0,0,0,3,0,0,3,0,2,0
상대팀별,롯데,2,0.000,10,9,1,0,0,0,0,0,0,0,1,0,2,0
상대팀별,삼성,3,0.167,13,12,1,2,0,0,0,0,0,1,1,0,3,0
상대팀별,키움,3,0.500,12,12,2,6,4,0,0,2,1,0,0,0,2,0
상대팀별,한화,3,0.533,18,15,6,8,4,1,0,5,0,0,3,0,2,0
구장별,대전,3,0.533,18,15,6,8,4,1,0,5,0,0,3,0,2,0
구장별,사직,2,0.000,10,9,1,0,0,0,0,0,0,0,1,0,2,0
구장별,수원,11,0.273,51,44,7,12,4,0,0,6,2,1,6,0,10,0
구장별,잠실,2,0.333,11,9,0,3,0,0,0,0,0,2,2,0,1,0
구장별,창원,3,0.385,14,13,2,5,0,0,0,0,0,0,1,0,2,0
월별,3~4월,21,0.311,104,90,16,28,8,1,0,11,2,3,13,0,17,0
요일별,화,4,0.167,21,18,5,3,1,0,0,0,0,0,3,0,2,0
요일별,수,4,0.294,20,17,6,5,2,0,0,6,1,0,3,0,3,0
요일별,목,3,0.533,16,15,1,8,1,1,0,0,0,0,1,0,4,0
요일별,금,3,0.250,15,12,2,3,1,0,0,1,1,0,3,0,3,0
요일별,토,3,0.214,15,14,1,3,1,0,0,2,0,1,1,0,3,0
요일별,일,4,0.429,17,14,1,6,2,0,0,2,0,2,2,0,2,0
홈/방문별,홈,11,0.273,51,44,7,12,4,0,0,6,2,1,6,0,10,0
홈/방문별,방문,10,0.348,53,46,9,16,4,1,0,5,0,2,7,0,7,0
주/야간별,주간,4,0.333,19,15,1,5,0,0,0,2,0,3,3,0,2,0
주/야간별,야간,17,0.307,85,75,15,23,8,1,0,9,2,0,10,0,15,0
기간별,전반기,21,0.311,104,90,16,28,8,1,0,11,2,3,13,0,17,0
