분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.316,57,18,6,1,0,0,6,0,6,0
주자상황별,1루,0.364,11,4,0,0,0,0,3,0,3,0
주자상황별,2루,0.000,2,0,0,0,0,0,0,0,0,0
주자상황별,3루,0.000,3,0,0,0,0,1,0,0,2,0
주자상황별,"1,2루",0.222,9,2,1,0,0,2,3,0,3,0
주자상황별,"1,3루",0.667,3,2,0,0,0,2,0,0,1,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,만루,0.500,4,2,1,0,0,6,1,0,1,0
주자상황별,주자있음,0.303,33,10,2,0,0,11,7,0,11,0
주자상황별,득점권,0.273,22,6,2,0,0,11,4,0,8,0
볼카운트별,0-0,0.455,11,5,1,0,0,2,0,0,0,0
볼카운트별,1-0,0.429,7,3,1,0,0,1,0,0,0,0
볼카운트별,2-0,0.000,3,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,1,3,0,0,0
볼카운트별,0-1,0.286,7,2,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.500,6,3,1,0,0,3,0,0,0,0
볼카운트별,2-1,0.400,5,2,1,0,0,1,0,0,0,0
볼카운트별,3-1,0.667,3,2,2,0,0,0,5,0,0,0
볼카운트별,0-2,0.429,7,3,0,0,0,0,0,0,2,0
볼카운트별,1-2,0.308,13,4,1,1,0,0,0,0,3,0
볼카운트별,2-2,0.143,21,3,1,0,0,3,0,0,10,0
볼카운트별,3-2,0.143,7,1,0,0,0,0,5,0,2,0
이닝별,1회,0.318,22,7,3,0,0,0,0,0,1,0
이닝별,2회,0.000,5,0,0,0,0,0,1,0,2,0
이닝별,3회,0.286,7,2,1,0,0,1,6,0,0,0
이닝별,4회,0.273,11,3,2,0,0,2,0,0,2,0
이닝별,5회,0.500,8,4,0,0,0,1,1,0,0,0
이닝별,6회,0.444,9,4,1,1,0,0,0,0,2,0
이닝별,7회,0.400,10,4,0,0,0,4,3,0,2,0
이닝별,8회,0.333,9,3,1,0,0,3,0,0,4,0
이닝별,9회,0.143,7,1,0,0,0,0,1,0,3,0
이닝별,연장,0.000,2,0,0,0,0,0,1,0,1,0
이닝별,1~3회,0.265,34,9,4,0,0,1,7,0,3,0
이닝별,4~6회,0.393,28,11,3,1,0,3,1,0,4,0
이닝별,7회이후,0.286,28,8,1,0,0,7,5,0,10,0
타순별,1번타자,0.311,90,28,8,1,0,11,13,0,17,0
투수유형별,좌투수,0.357,28,10,1,0,0,3,2,0,4,0
투수유형별,우투수,0.290,62,18,7,1,0,8,11,0,13,0
아웃카운트별,0아웃,0.318,44,14,4,0,0,0,3,0,5,0
아웃카운트별,1아웃,0.320,25,8,2,1,0,2,5,0,5,0
아웃카운트별,2아웃,0.286,21,6,2,0,0,9,5,0,7,0
