분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,LG,0.200,6,5,0,1,0,0,0,0,0,1,1,0,1,0,0.200
3월,03.29,LG,0.500,5,4,0,2,0,0,0,0,0,1,1,0,0,0,0.333
3월,03.31,한화,0.250,5,4,2,1,1,0,0,0,0,0,1,0,0,0,0.308
4월,04.01,한화,0.600,6,5,3,3,2,0,0,5,0,0,1,0,0,0,0.389
4월,04.02,한화,0.667,7,6,1,4,1,1,0,0,0,0,1,0,2,0,0.458
4월,04.03,삼성,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.429
4월,04.04,삼성,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.364
4월,04.05,삼성,0.333,4,3,1,1,0,0,0,0,0,1,1,0,1,0,0.361
4월,04.07,롯데,0.000,6,5,1,0,0,0,0,0,0,0,1,0,2,0,0.317
4월,04.08,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.289
4월,04.10,두산,0.000,7,4,1,0,0,0,0,1,0,0,3,0,2,0,0.265
4월,04.12,두산,0.333,4,3,0,1,0,0,0,2,0,0,0,0,0,0,0.269
4월,04.14,NC,0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.268
4월,04.15,NC,0.000,5,4,1,0,0,0,0,0,0,0,1,0,1,0,0.250
4월,04.16,NC,0.800,5,5,0,4,0,0,0,0,0,0,0,0,1,0,0.292
4월,04.17,키움,0.500,4,4,1,2,1,0,0,0,1,0,0,0,1,0,0.304
4월,04.18,키움,0.500,4,4,1,2,1,0,0,2,0,0,0,0,0,0,0.315
4월,04.19,키움,0.500,4,4,0,2,2,0,0,0,0,0,0,0,1,0,0.325
4월,04.21,KIA,0.200,6,5,1,1,0,0,0,0,0,0,1,0,0,0,0.317
4월,04.22,KIA,0.500,5,4,2,2,0,0,0,1,1,0,1,0,2,0,0.326
4월,04.23,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.311
