연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2016,KIA,0.458,14,25,24,5,11,1,0,1,15,4,1,1,0,0,3,0,0.625,0.458,2
2017,KIA,0.308,72,174,156,27,48,15,0,3,72,27,3,2,10,2,20,2,0.462,0.351,6
2018,KIA,0.272,101,331,302,46,82,14,1,4,110,32,10,4,20,4,58,4,0.364,0.324,14
2019,KIA,0.198,90,255,232,33,46,11,3,1,66,18,8,4,16,4,51,4,0.284,0.261,6
2020,KIA,0.326,123,412,359,72,117,16,6,2,151,35,14,3,33,6,35,1,0.421,0.387,4
2021,KIA,0.295,143,668,589,82,174,21,6,4,219,44,40,13,61,11,68,7,0.372,0.370,7
2023,KIA,0.255,67,274,239,37,61,11,2,1,79,23,13,5,31,0,39,5,0.331,0.341,8
2024,KIA,0.292,136,508,438,75,128,23,3,9,184,56,21,9,50,8,66,6,0.420,0.371,4
2025,NC,0.242,126,449,413,62,100,13,3,6,137,44,26,8,23,6,71,5,0.332,0.289,3
2026,KT,0.311,21,104,90,16,28,8,1,0,38,11,2,3,13,0,17,0,0.422,0.394,2
