분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.167,10,6,0,1,0,0,0,1,0,0,2,1,2,0
상대팀별,LG,3,0.231,13,13,0,3,0,0,0,0,0,0,0,0,1,0
상대팀별,NC,2,0.167,9,6,3,1,0,0,1,1,1,0,3,0,3,0
상대팀별,두산,3,0.250,12,12,1,3,2,0,0,0,0,0,0,0,6,0
상대팀별,롯데,3,0.625,14,8,4,5,3,0,0,2,1,0,5,1,0,0
상대팀별,삼성,3,0.100,13,10,0,1,0,1,0,0,0,0,2,1,3,0
상대팀별,키움,3,0.364,13,11,4,4,1,0,1,2,0,0,2,0,1,0
상대팀별,한화,2,0.222,9,9,1,2,1,0,1,3,0,0,0,0,3,0
구장별,대구,3,0.100,13,10,0,1,0,1,0,0,0,0,2,1,3,0
구장별,문학,10,0.263,44,38,6,10,4,0,2,6,0,0,4,1,12,0
구장별,사직,3,0.625,14,8,4,5,3,0,0,2,1,0,5,1,0,0
구장별,잠실,3,0.231,13,13,0,3,0,0,0,0,0,0,0,0,1,0
구장별,창원,2,0.167,9,6,3,1,0,0,1,1,1,0,3,0,3,0
월별,3~4월,21,0.267,93,75,13,20,7,1,3,9,2,0,14,3,19,0
요일별,화,4,0.250,18,16,3,4,1,0,1,2,0,0,1,1,3,0
요일별,수,4,0.176,17,17,1,3,2,0,0,1,0,0,0,0,7,0
요일별,목,3,0.333,12,9,2,3,1,1,1,2,0,0,3,0,3,0
요일별,금,2,0.429,8,7,1,3,2,0,0,1,0,0,0,1,0,0
요일별,토,4,0.357,20,14,5,5,0,0,1,2,1,0,5,1,1,0
요일별,일,4,0.167,18,12,1,2,1,0,0,1,1,0,5,0,5,0
홈/방문별,홈,10,0.263,44,38,6,10,4,0,2,6,0,0,4,1,12,0
홈/방문별,방문,11,0.270,49,37,7,10,3,1,1,3,2,0,10,2,7,0
주/야간별,주간,5,0.200,23,15,1,3,1,0,0,1,1,0,6,1,6,0
주/야간별,야간,16,0.283,70,60,12,17,6,1,3,8,1,0,8,2,13,0
기간별,전반기,21,0.267,93,75,13,20,7,1,3,9,2,0,14,3,19,0
