분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.250,36,9,3,1,1,1,5,2,8,0
주자상황별,1루,0.364,22,8,3,0,2,4,1,0,5,0
주자상황별,2루,0.250,8,2,0,0,0,1,4,1,3,0
주자상황별,3루,0.000,3,0,0,0,0,1,1,0,0,0
주자상황별,"1,2루",0.250,4,1,1,0,0,1,2,0,2,0
주자상황별,"1,3루",-,0,0,0,0,0,0,0,0,0,0
주자상황별,"2,3루",-,0,0,0,0,0,1,1,0,0,0
주자상황별,만루,0.000,2,0,0,0,0,0,0,0,1,0
주자상황별,주자있음,0.282,39,11,4,0,2,8,9,1,11,0
주자상황별,득점권,0.176,17,3,1,0,0,4,8,1,6,0
볼카운트별,0-0,0.286,7,2,0,1,1,2,0,0,0,0
볼카운트별,1-0,0.500,6,3,0,0,0,0,0,0,0,0
볼카운트별,2-0,0.000,3,0,0,0,0,1,1,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-1,0.385,13,5,3,0,0,1,0,1,0,0
볼카운트별,1-1,0.333,3,1,0,0,0,1,0,0,0,0
볼카운트별,2-1,1.000,2,2,1,0,0,0,0,0,0,0
볼카운트별,3-1,0.750,4,3,2,0,1,3,4,0,0,0
볼카운트별,0-2,0.250,4,1,0,0,0,0,0,1,2,0
볼카운트별,1-2,0.067,15,1,0,0,1,1,0,0,11,0
볼카운트별,2-2,0.000,9,0,0,0,0,0,0,0,4,0
볼카운트별,3-2,0.222,9,2,1,0,0,0,7,1,2,0
이닝별,1회,0.333,18,6,1,0,2,5,3,0,3,0
이닝별,2회,0.000,1,0,0,0,0,0,1,0,0,0
이닝별,3회,0.273,11,3,1,0,0,0,2,0,3,0
이닝별,4회,0.333,9,3,1,0,0,1,1,1,3,0
이닝별,5회,0.364,11,4,3,0,1,2,0,0,3,0
이닝별,6회,0.100,10,1,1,0,0,0,2,0,4,0
이닝별,7회,0.333,6,2,0,0,0,0,1,0,1,0
이닝별,8회,0.000,6,0,0,0,0,1,1,1,1,0
이닝별,9회,0.333,3,1,0,1,0,0,3,1,1,0
이닝별,1~3회,0.300,30,9,2,0,2,5,6,0,6,0
이닝별,4~6회,0.267,30,8,5,0,1,3,3,1,10,0
이닝별,7회이후,0.200,15,3,0,1,0,1,5,2,3,0
타순별,3번타자,0.267,75,20,7,1,3,9,14,3,19,0
투수유형별,좌투수,0.250,12,3,0,0,2,5,4,0,2,0
투수유형별,우투수,0.270,63,17,7,1,1,4,10,3,17,0
아웃카운트별,0아웃,0.318,22,7,4,1,0,0,2,0,6,0
아웃카운트별,1아웃,0.250,32,8,1,0,3,6,6,3,7,0
아웃카운트별,2아웃,0.238,21,5,2,0,0,3,6,0,6,0
