분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,KIA,0.333,5,3,0,1,0,0,0,0,0,0,1,1,1,0,0.333
3월,03.29,KIA,0.000,5,3,0,0,0,0,0,1,0,0,1,0,1,0,0.167
3월,03.31,키움,0.500,5,4,2,2,1,0,0,0,0,0,1,0,0,0,0.300
4월,04.01,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.286
4월,04.02,키움,0.333,4,3,2,1,0,0,1,2,0,0,1,0,0,0,0.294
4월,04.03,롯데,0.667,4,3,1,2,2,0,0,1,0,0,0,1,0,0,0.350
4월,04.04,롯데,0.500,5,4,2,2,0,0,0,1,0,0,1,0,0,0,0.375
4월,04.05,롯데,1.000,5,1,1,1,1,0,0,0,1,0,4,0,0,0,0.400
4월,04.07,한화,0.250,4,4,1,1,0,0,1,2,0,0,0,0,1,0,0.379
4월,04.08,한화,0.200,5,5,0,1,1,0,0,1,0,0,0,0,2,0,0.353
4월,04.10,LG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.342
4월,04.11,LG,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.326
4월,04.12,LG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.319
4월,04.14,두산,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.314
4월,04.15,두산,0.250,4,4,1,1,1,0,0,0,0,0,0,0,2,0,0.309
4월,04.16,두산,0.250,4,4,0,1,1,0,0,0,0,0,0,0,2,0,0.305
4월,04.18,NC,0.500,5,2,3,1,0,0,1,1,1,0,3,0,0,0,0.311
4월,04.19,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0.292
4월,04.21,삼성,0.000,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0.275
4월,04.22,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.260
4월,04.23,삼성,0.500,4,2,0,1,0,1,0,0,0,0,2,0,1,0,0.267
