연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2005,SK,0.247,45,93,85,6,21,5,0,1,29,11,0,0,5,2,27,3,0.341,0.304,1
2006,SK,0.221,92,304,280,25,62,11,0,12,109,40,3,2,14,7,90,6,0.389,0.275,8
2007,SK,0.267,122,462,408,49,109,19,1,16,178,66,8,7,33,11,84,3,0.436,0.338,12
2008,SK,0.328,114,476,406,77,133,24,1,12,195,61,19,8,41,17,58,7,0.480,0.410,14
2009,SK,0.265,99,410,339,63,90,15,0,19,162,58,11,0,40,22,64,6,0.478,0.376,9
2010,SK,0.300,123,493,400,84,120,31,1,20,213,80,12,4,49,20,72,7,0.533,0.396,14
2011,SK,0.310,113,488,403,64,125,25,1,20,212,75,15,5,46,20,72,8,0.526,0.402,5
2012,SK,0.300,130,553,474,85,142,33,1,26,255,84,20,8,49,21,98,8,0.538,0.385,6
2013,SK,0.316,120,525,434,75,137,18,0,28,239,83,24,8,64,24,109,10,0.551,0.429,19
2014,SK,0.305,82,361,308,65,94,20,0,14,156,76,7,2,37,12,69,9,0.506,0.397,12
2015,SK,0.295,81,330,275,43,81,17,0,17,149,58,5,2,46,5,78,6,0.542,0.401,4
2016,SK,0.288,141,606,500,106,144,24,1,40,290,106,1,2,77,23,126,6,0.580,0.403,14
2017,SK,0.316,130,527,430,89,136,18,1,46,294,113,1,5,70,19,107,8,0.684,0.427,6
2018,SK,0.244,115,489,406,95,99,16,1,35,222,74,9,2,58,23,129,10,0.547,0.368,11
2019,SK,0.292,141,606,503,86,147,27,0,29,261,99,3,2,69,26,92,4,0.519,0.399,14
2020,SK,0.270,133,553,452,90,122,22,0,33,243,96,8,3,75,20,98,7,0.538,0.392,11
2021,SSG,0.278,134,555,436,92,121,17,1,35,245,100,8,6,84,22,102,9,0.562,0.410,12
2022,SSG,0.266,121,505,414,80,110,21,0,26,209,87,12,5,66,19,96,6,0.505,0.386,12
2023,SSG,0.297,128,552,471,94,140,31,0,29,258,87,7,3,59,15,87,12,0.548,0.388,13
2024,SSG,0.291,129,550,468,93,136,27,2,37,278,107,5,1,55,20,114,10,0.594,0.384,13
2025,SSG,0.244,95,406,340,54,83,12,0,23,164,63,1,0,51,12,94,10,0.482,0.360,4
2026,SSG,0.267,21,93,75,13,20,7,1,3,38,9,2,0,14,3,19,0,0.507,0.398,2
