분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.375,12,8,2,3,0,0,0,0,3,0,2,1,0,0
상대팀별,KT,3,0.364,11,11,3,4,0,0,0,0,3,0,0,0,2,0
상대팀별,LG,2,0.167,6,6,0,1,0,0,0,0,0,0,0,0,1,0
상대팀별,SSG,1,0.000,3,2,1,0,0,0,0,0,0,0,0,1,1,1
상대팀별,두산,2,0.000,8,4,0,0,0,0,0,0,0,0,1,1,2,0
상대팀별,롯데,3,0.571,10,7,1,4,0,0,0,1,1,1,2,0,0,0
상대팀별,삼성,3,0.167,10,6,0,1,0,0,0,0,0,0,2,1,2,0
상대팀별,키움,2,0.000,8,8,0,0,0,0,0,0,0,0,0,0,3,0
구장별,고척,2,0.000,8,8,0,0,0,0,0,0,0,0,0,0,3,0
구장별,광주,3,0.375,12,8,2,3,0,0,0,0,3,0,2,1,0,0
구장별,대구,3,0.167,10,6,0,1,0,0,0,0,0,0,2,1,2,0
구장별,창원,11,0.300,38,30,5,9,0,0,0,1,4,1,3,2,6,1
월별,3~4월,19,0.250,68,52,7,13,0,0,0,1,7,1,7,4,11,1
요일별,화,3,0.417,13,12,2,5,0,0,0,1,1,0,1,0,1,0
요일별,수,4,0.143,8,7,0,1,0,0,0,0,0,0,0,0,1,0
요일별,목,3,0.231,14,13,2,3,0,0,0,0,3,1,1,0,4,0
요일별,금,2,0.500,7,2,2,1,0,0,0,0,2,0,2,1,0,0
요일별,토,4,0.200,16,10,1,2,0,0,0,0,1,0,2,3,3,1
요일별,일,3,0.125,10,8,0,1,0,0,0,0,0,0,1,0,2,0
홈/방문별,홈,11,0.300,38,30,5,9,0,0,0,1,4,1,3,2,6,1
홈/방문별,방문,8,0.182,30,22,2,4,0,0,0,0,3,0,4,2,5,0
주/야간별,주간,4,0.100,14,10,0,1,0,0,0,0,0,0,1,1,3,0
주/야간별,야간,15,0.286,54,42,7,12,0,0,0,1,7,1,6,3,8,1
기간별,전반기,19,0.250,68,52,7,13,0,0,0,1,7,1,7,4,11,1
