분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.300,30,9,0,0,0,0,4,2,7,0
주자상황별,1루,0.182,11,2,0,0,0,0,0,2,2,0
주자상황별,2루,0.000,4,0,0,0,0,0,2,0,1,0
주자상황별,3루,0.500,2,1,0,0,0,1,0,0,0,0
주자상황별,"1,2루",0.250,4,1,0,0,0,0,1,0,1,1
주자상황별,"1,3루",0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,주자있음,0.182,22,4,0,0,0,1,3,2,4,1
주자상황별,득점권,0.182,11,2,0,0,0,1,3,0,2,1
볼카운트별,0-0,0.000,2,0,0,0,0,0,0,1,0,0
볼카운트별,1-0,0.000,2,0,0,0,0,0,0,0,0,0
볼카운트별,2-0,1.000,1,1,0,0,0,1,0,1,0,0
볼카운트별,0-1,0.333,9,3,0,0,0,0,0,0,0,0
볼카운트별,1-1,0.167,6,1,0,0,0,0,0,1,0,0
볼카운트별,2-1,0.250,4,1,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,0,4,0,0,0
볼카운트별,0-2,0.000,3,0,0,0,0,0,0,0,1,1
볼카운트별,1-2,0.111,9,1,0,0,0,0,0,0,6,0
볼카운트별,2-2,0.444,9,4,0,0,0,0,0,1,1,0
볼카운트별,3-2,0.333,6,2,0,0,0,0,3,0,3,0
이닝별,1회,0.600,5,3,0,0,0,0,0,0,1,0
이닝별,2회,0.250,4,1,0,0,0,0,1,2,0,0
이닝별,3회,0.300,10,3,0,0,0,0,1,1,2,0
이닝별,4회,0.000,5,0,0,0,0,0,1,0,2,0
이닝별,5회,0.333,9,3,0,0,0,0,0,0,3,0
이닝별,6회,0.200,5,1,0,0,0,1,1,0,0,0
이닝별,7회,0.143,7,1,0,0,0,0,1,0,2,1
이닝별,8회,0.000,4,0,0,0,0,0,2,0,1,0
이닝별,9회,0.333,3,1,0,0,0,0,0,1,0,0
이닝별,1~3회,0.368,19,7,0,0,0,0,2,3,3,0
이닝별,4~6회,0.211,19,4,0,0,0,1,2,0,5,0
이닝별,7회이후,0.143,14,2,0,0,0,0,3,1,3,1
타순별,2번타자,0.250,20,5,0,0,0,0,0,0,6,0
타순별,8번타자,0.000,2,0,0,0,0,0,0,0,0,0
타순별,9번타자,0.267,30,8,0,0,0,1,7,4,5,1
투수유형별,좌투수,0.200,10,2,0,0,0,0,3,2,1,0
투수유형별,우투수,0.211,38,8,0,0,0,1,4,2,9,1
투수유형별,언더투수,0.750,4,3,0,0,0,0,0,0,1,0
아웃카운트별,0아웃,0.167,18,3,0,0,0,0,3,1,5,1
아웃카운트별,1아웃,0.350,20,7,0,0,0,0,1,1,4,0
아웃카운트별,2아웃,0.214,14,3,0,0,0,1,3,2,2,0
