분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,두산,0.000,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0.000
3월,03.29,두산,0.000,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0.000
3월,03.31,롯데,0.333,4,3,0,1,0,0,0,1,0,0,1,0,0,0,0.143
4월,04.01,롯데,1.000,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0.250
4월,04.02,롯데,0.667,4,3,1,2,0,0,0,0,1,1,1,0,0,0,0.364
4월,04.03,KIA,1.000,4,1,2,1,0,0,0,0,2,0,1,1,0,0,0.417
4월,04.04,KIA,0.500,5,4,0,2,0,0,0,0,1,0,1,0,0,0,0.438
4월,04.05,KIA,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.368
4월,04.07,LG,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.348
4월,04.08,LG,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.320
4월,04.10,삼성,0.000,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0.308
4월,04.11,삼성,0.000,4,2,0,0,0,0,0,0,0,0,1,1,1,0,0.286
4월,04.12,삼성,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.290
4월,04.14,KT,0.600,5,5,2,3,0,0,0,0,1,0,0,0,0,0,0.333
4월,04.15,KT,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.316
4월,04.16,KT,0.250,4,4,1,1,0,0,0,0,2,0,0,0,2,0,0.310
4월,04.18,SSG,0.000,3,2,1,0,0,0,0,0,0,0,0,1,1,1,0.295
4월,04.22,키움,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.283
4월,04.23,키움,0.000,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0.250
