분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.111,9,9,1,1,0,0,0,0,0,0,0,0,1,0
상대팀별,KT,3,0.000,10,10,0,0,0,0,0,0,0,0,0,0,2,1
상대팀별,LG,3,0.250,13,12,1,3,0,0,0,2,0,0,1,0,3,1
상대팀별,NC,3,0.143,8,7,0,1,0,0,0,2,0,0,1,0,2,0
상대팀별,SSG,1,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0
상대팀별,두산,2,0.600,8,5,0,3,0,0,0,3,0,0,2,0,0,0
상대팀별,롯데,3,0.250,12,12,1,3,0,0,1,2,0,0,0,0,3,0
상대팀별,한화,2,0.286,7,7,0,2,1,0,0,0,0,0,0,0,0,2
구장별,고척,9,0.226,33,31,2,7,0,0,1,6,0,0,2,0,8,1
구장별,광주,3,0.111,9,9,1,1,0,0,0,0,0,0,0,0,1,0
구장별,대전,2,0.286,7,7,0,2,1,0,0,0,0,0,0,0,0,2
구장별,문학,1,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0
구장별,수원,3,0.000,10,10,0,0,0,0,0,0,0,0,0,0,2,1
구장별,잠실,2,0.600,8,5,0,3,0,0,0,3,0,0,2,0,0,0
월별,3~4월,20,0.212,71,66,3,14,2,0,1,9,0,0,4,0,12,4
요일별,화,3,0.167,8,6,0,1,0,0,0,2,0,0,1,0,0,0
요일별,수,3,0.286,9,7,0,2,0,0,0,2,0,0,2,0,1,0
요일별,목,3,0.250,12,12,1,3,1,0,0,1,0,0,0,0,3,0
요일별,금,3,0.111,10,9,1,1,0,0,1,3,0,0,1,0,2,1
요일별,토,4,0.333,18,18,1,6,0,0,0,1,0,0,0,0,1,3
요일별,일,4,0.071,14,14,0,1,1,0,0,0,0,0,0,0,5,0
홈/방문별,홈,9,0.226,33,31,2,7,0,0,1,6,0,0,2,0,8,1
홈/방문별,방문,11,0.200,38,35,1,7,2,0,0,3,0,0,2,0,4,3
주/야간별,주간,4,0.125,16,16,0,2,1,0,0,0,0,0,0,0,4,2
주/야간별,야간,16,0.240,55,50,3,12,1,0,1,9,0,0,4,0,8,2
기간별,전반기,20,0.212,71,66,3,14,2,0,1,9,0,0,4,0,12,4
