분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.235,34,8,2,0,1,1,1,0,7,0
주자상황별,1루,0.083,12,1,0,0,0,0,1,0,1,1
주자상황별,2루,0.500,4,2,0,0,0,1,1,0,0,0
주자상황별,3루,0.143,7,1,0,0,0,2,0,0,3,0
주자상황별,"1,2루",0.250,4,1,0,0,0,0,0,0,1,1
주자상황별,"1,3루",0.333,3,1,0,0,0,2,0,0,0,1
주자상황별,"2,3루",0.000,1,0,0,0,0,1,0,0,0,0
주자상황별,만루,0.000,1,0,0,0,0,2,1,0,0,1
주자상황별,주자있음,0.188,32,6,0,0,0,8,3,0,5,4
주자상황별,득점권,0.250,20,5,0,0,0,8,2,0,4,3
볼카운트별,0-0,0.000,5,0,0,0,0,0,0,0,0,1
볼카운트별,1-0,0.333,3,1,0,0,0,0,0,0,0,1
볼카운트별,2-0,0.000,1,0,0,0,0,0,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,1,3,0,0,0
볼카운트별,0-1,0.250,4,1,0,0,0,0,0,0,0,1
볼카운트별,1-1,0.500,4,2,0,0,0,1,0,0,0,0
볼카운트별,2-1,0.500,6,3,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.250,4,1,1,0,0,0,0,0,0,0
볼카운트별,0-2,0.200,5,1,1,0,0,1,0,0,0,0
볼카운트별,1-2,0.214,14,3,0,0,1,5,0,0,3,0
볼카운트별,2-2,0.067,15,1,0,0,0,1,0,0,8,1
볼카운트별,3-2,0.200,5,1,0,0,0,0,1,0,1,0
이닝별,1회,0.250,12,3,0,0,0,2,0,0,3,1
이닝별,2회,0.500,4,2,0,0,0,0,0,0,0,0
이닝별,3회,0.200,5,1,0,0,0,1,0,0,1,0
이닝별,4회,0.200,10,2,0,0,1,2,0,0,1,1
이닝별,5회,0.286,7,2,0,0,0,1,0,0,2,0
이닝별,6회,0.143,7,1,0,0,0,1,3,0,1,1
이닝별,7회,0.400,5,2,2,0,0,1,1,0,0,1
이닝별,8회,0.111,9,1,0,0,0,1,0,0,3,0
이닝별,9회,0.000,6,0,0,0,0,0,0,0,1,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,1~3회,0.286,21,6,0,0,0,3,0,0,4,1
이닝별,4~6회,0.208,24,5,0,0,1,4,3,0,4,2
이닝별,7회이후,0.143,21,3,2,0,0,2,1,0,4,1
타순별,2번타자,0.000,8,0,0,0,0,0,0,0,1,0
타순별,3번타자,0.000,3,0,0,0,0,1,1,0,1,0
타순별,4번타자,0.297,37,11,1,0,1,5,2,0,7,3
타순별,5번타자,0.333,6,2,0,0,0,3,1,0,1,0
타순별,6번타자,0.000,6,0,0,0,0,0,0,0,1,0
타순별,7번타자,0.200,5,1,1,0,0,0,0,0,1,1
타순별,9번타자,0.000,1,0,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.286,14,4,1,0,0,3,0,0,1,0
투수유형별,우투수,0.208,48,10,1,0,1,6,4,0,11,4
투수유형별,언더투수,0.000,4,0,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.400,20,8,2,0,1,3,3,0,2,1
아웃카운트별,1아웃,0.111,18,2,0,0,0,0,1,0,2,3
아웃카운트별,2아웃,0.143,28,4,0,0,0,6,0,0,8,0
