분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,한화,0.167,6,6,0,1,0,0,0,0,0,0,0,0,0,2,0.167
3월,03.29,한화,1.000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.286
4월,04.02,SSG,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0.273
4월,04.03,LG,0.000,4,3,0,0,0,0,0,2,0,0,1,0,0,1,0.214
4월,04.04,LG,0.750,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0.333
4월,04.05,LG,0.000,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0.261
4월,04.07,두산,0.500,4,2,0,1,0,0,0,2,0,0,1,0,0,0,0.280
4월,04.08,두산,0.667,4,3,0,2,0,0,0,1,0,0,1,0,0,0,0.321
4월,04.10,롯데,0.250,4,4,1,1,0,0,1,1,0,0,0,0,2,0,0.313
4월,04.11,롯데,0.500,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0.333
4월,04.12,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.300
4월,04.14,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.273
4월,04.15,KIA,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.267
4월,04.16,KIA,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.265
4월,04.17,KT,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.255
4월,04.18,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0.236
4월,04.19,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.220
4월,04.21,NC,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220
4월,04.22,NC,0.000,4,3,0,0,0,0,0,1,0,0,1,0,1,0,0.210
4월,04.23,NC,0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.212
