연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2006,두산,0.000,4,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0
2007,두산,0.000,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0
2008,두산,0.267,16,16,15,3,4,2,1,0,8,6,0,0,1,0,4,0,0.533,0.313,1
2009,두산,0.000,9,11,10,0,0,0,0,0,0,0,0,0,0,1,2,0,0.000,0.091,1
2012,두산,0.271,81,238,210,29,57,11,2,2,78,22,4,3,18,3,23,2,0.371,0.336,4
2013,두산,0.297,47,100,91,12,27,5,1,2,40,10,1,0,8,0,9,3,0.440,0.350,1
2014,두산,0.280,82,211,189,38,53,14,0,4,79,31,1,1,14,2,25,1,0.418,0.333,3
2015,두산,0.282,100,270,238,34,67,16,2,5,102,32,0,3,25,3,34,6,0.429,0.356,8
2016,두산,0.281,85,182,160,21,45,11,0,2,62,22,0,0,12,4,19,2,0.388,0.339,2
2017,두산,0.301,129,452,399,65,120,16,6,7,169,57,3,2,38,9,58,10,0.424,0.370,7
2018,두산,0.333,138,590,519,87,173,39,6,26,302,108,1,0,51,10,89,5,0.582,0.397,3
2019,두산,0.277,87,325,285,27,79,13,0,4,104,47,0,0,28,1,35,10,0.365,0.332,3
2020,두산,0.306,140,574,509,63,156,29,4,16,241,88,2,2,47,7,66,7,0.473,0.366,10
2021,SSG,0.256,116,470,406,50,104,16,0,18,174,67,2,1,53,9,84,7,0.429,0.353,11
2022,SSG,0.211,97,333,298,36,63,14,2,9,108,41,0,0,29,4,55,5,0.362,0.288,11
2023,SSG,0.235,134,478,426,48,100,24,0,20,184,63,0,0,44,4,94,6,0.432,0.310,9
2024,키움,0.257,130,544,482,49,124,23,1,13,188,84,0,1,47,6,92,12,0.390,0.325,6
2025,키움,0.275,120,506,459,45,126,31,1,12,195,74,0,0,36,5,66,8,0.425,0.330,6
2026,키움,0.212,20,71,66,3,14,2,0,1,19,9,0,0,4,0,12,4,0.288,0.254,1
