분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.200,8,5,2,1,0,0,0,0,1,0,3,0,0,0
상대팀별,LG,3,0.091,13,11,0,1,0,0,0,1,1,0,0,0,2,0
상대팀별,NC,2,0.250,8,8,2,2,0,0,1,3,0,0,0,0,2,0
상대팀별,두산,3,0.182,11,11,2,2,0,0,1,2,0,0,0,0,4,0
상대팀별,롯데,3,0.364,15,11,5,4,1,0,1,4,0,0,3,1,1,0
상대팀별,삼성,3,0.167,13,12,2,2,1,0,0,2,0,0,1,0,1,0
상대팀별,키움,3,0.182,11,11,2,2,1,0,1,2,1,0,0,0,2,1
상대팀별,한화,2,0.143,8,7,0,1,1,0,0,0,0,0,0,1,1,1
구장별,대구,3,0.167,13,12,2,2,1,0,0,2,0,0,1,0,1,0
구장별,문학,10,0.176,38,34,6,6,2,0,2,4,2,0,3,1,7,2
구장별,사직,3,0.364,15,11,5,4,1,0,1,4,0,0,3,1,1,0
구장별,잠실,3,0.091,13,11,0,1,0,0,0,1,1,0,0,0,2,0
구장별,창원,2,0.250,8,8,2,2,0,0,1,3,0,0,0,0,2,0
월별,3~4월,21,0.197,87,76,15,15,4,0,4,14,3,0,7,2,13,2
요일별,화,4,0.125,17,16,2,2,1,0,1,2,1,0,1,0,2,0
요일별,수,4,0.067,16,15,0,1,1,0,0,0,0,0,0,1,4,2
요일별,목,3,0.400,10,10,4,4,1,0,1,4,0,0,0,0,2,0
요일별,금,2,0.429,9,7,3,3,1,0,1,3,0,0,1,0,1,0
요일별,토,4,0.294,19,17,4,5,0,0,1,4,0,0,2,0,4,0
요일별,일,4,0.000,16,11,2,0,0,0,0,1,2,0,3,1,0,0
홈/방문별,홈,10,0.176,38,34,6,6,2,0,2,4,2,0,3,1,7,2
홈/방문별,방문,11,0.214,49,42,9,9,2,0,2,10,1,0,4,1,6,0
주/야간별,주간,5,0.071,20,14,3,1,0,0,0,1,2,0,4,1,0,0
주/야간별,야간,16,0.226,67,62,12,14,4,0,4,13,1,0,3,1,13,2
기간별,전반기,21,0.197,87,76,15,15,4,0,4,14,3,0,7,2,13,2
