분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.114,35,4,1,0,0,0,3,1,7,0
주자상황별,1루,0.250,20,5,1,0,2,4,1,0,2,1
주자상황별,2루,0.333,3,1,1,0,0,1,1,0,0,0
주자상황별,3루,1.000,1,1,0,0,1,2,1,0,0,0
주자상황별,"1,2루",0.286,7,2,0,0,1,3,1,0,2,0
주자상황별,"1,3루",0.250,4,1,0,0,0,2,0,1,2,1
주자상황별,"2,3루",0.000,3,0,0,0,0,0,0,0,0,0
주자상황별,만루,0.333,3,1,1,0,0,2,0,0,0,0
주자상황별,주자있음,0.268,41,11,3,0,4,14,4,1,6,2
주자상황별,득점권,0.286,21,6,2,0,2,10,3,1,4,1
볼카운트별,0-0,0.000,4,0,0,0,0,0,0,1,0,0
볼카운트별,1-0,0.333,3,1,0,0,1,2,0,0,0,0
볼카운트별,2-0,0.500,2,1,1,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,1,0,0,0
볼카운트별,0-1,0.200,5,1,1,0,0,2,0,0,0,0
볼카운트별,1-1,0.200,5,1,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.000,6,0,0,0,0,0,0,1,0,1
볼카운트별,3-1,0.000,1,0,0,0,0,0,2,0,0,0
볼카운트별,0-2,0.267,15,4,0,0,1,3,0,0,2,1
볼카운트별,1-2,0.143,14,2,0,0,1,3,0,0,5,0
볼카운트별,2-2,0.200,10,2,1,0,0,0,0,0,3,0
볼카운트별,3-2,0.273,11,3,1,0,1,3,4,0,3,0
이닝별,1회,0.250,4,1,0,0,0,1,0,0,1,0
이닝별,2회,0.267,15,4,2,0,1,3,0,0,3,0
이닝별,3회,0.400,5,2,0,0,1,2,1,0,1,0
이닝별,4회,0.154,13,2,0,0,1,3,2,1,2,0
이닝별,5회,0.000,5,0,0,0,0,0,1,0,0,0
이닝별,6회,0.182,11,2,1,0,0,0,1,0,2,2
이닝별,7회,0.250,8,2,0,0,0,0,0,0,1,0
이닝별,8회,0.125,8,1,0,0,1,2,1,1,1,0
이닝별,9회,0.167,6,1,1,0,0,3,1,0,2,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,1~3회,0.292,24,7,2,0,2,6,1,0,5,0
이닝별,4~6회,0.138,29,4,1,0,1,3,4,1,4,2
이닝별,7회이후,0.174,23,4,1,0,1,5,2,1,4,0
타순별,2번타자,0.000,10,0,0,0,0,0,0,0,3,0
타순별,6번타자,0.179,28,5,0,0,1,4,5,1,5,0
타순별,7번타자,0.226,31,7,3,0,2,6,2,1,4,2
타순별,8번타자,0.250,4,1,0,0,1,2,0,0,1,0
타순별,9번타자,0.667,3,2,1,0,0,2,0,0,0,0
투수유형별,좌투수,0.214,14,3,0,0,1,2,0,0,2,0
투수유형별,우투수,0.194,62,12,4,0,3,12,7,2,11,2
아웃카운트별,0아웃,0.107,28,3,0,0,1,2,4,0,5,0
아웃카운트별,1아웃,0.200,25,5,2,0,1,4,1,1,1,2
아웃카운트별,2아웃,0.304,23,7,2,0,2,8,2,1,7,0
