분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,2,0.429,10,7,3,3,1,0,2,6,0,0,3,0,0,0
상대팀별,KT,3,0.167,13,12,1,2,0,0,1,1,0,0,1,0,2,2
상대팀별,LG,2,0.250,8,8,1,2,1,0,0,1,0,0,0,0,1,0
상대팀별,NC,3,0.111,14,9,0,1,0,0,0,3,0,0,4,1,0,0
상대팀별,SSG,3,0.231,14,13,1,3,0,0,0,0,0,0,1,0,1,0
상대팀별,두산,3,0.417,14,12,2,5,0,0,1,2,0,0,1,0,2,2
상대팀별,롯데,2,0.286,8,7,1,2,0,0,0,0,0,0,1,0,0,1
상대팀별,한화,3,0.444,17,9,4,4,1,0,0,3,0,0,7,1,1,0
구장별,광주,2,0.429,10,7,3,3,1,0,2,6,0,0,3,0,0,0
구장별,대구,13,0.265,58,49,5,13,1,0,1,6,0,0,7,1,4,3
구장별,대전,3,0.444,17,9,4,4,1,0,0,3,0,0,7,1,1,0
구장별,수원,3,0.167,13,12,1,2,0,0,1,1,0,0,1,0,2,2
월별,3~4월,21,0.286,98,77,13,22,3,0,4,16,0,0,18,2,7,5
요일별,화,4,0.467,21,15,3,7,1,0,2,6,0,0,5,1,2,0
요일별,수,4,0.278,20,18,6,5,1,0,1,3,0,0,2,0,1,1
요일별,목,3,0.375,14,8,1,3,0,0,0,2,0,0,5,0,1,1
요일별,금,2,0.000,9,6,0,0,0,0,0,1,0,0,3,0,0,0
요일별,토,4,0.286,17,14,2,4,1,0,1,3,0,0,3,0,3,0
요일별,일,4,0.188,17,16,1,3,0,0,0,1,0,0,0,1,0,3
홈/방문별,홈,13,0.265,58,49,5,13,1,0,1,6,0,0,7,1,4,3
홈/방문별,방문,8,0.321,40,28,8,9,2,0,3,10,0,0,11,1,3,2
주/야간별,주간,6,0.261,25,23,2,6,1,0,0,2,0,0,1,1,1,3
주/야간별,야간,15,0.296,73,54,11,16,2,0,4,14,0,0,17,1,6,2
기간별,전반기,21,0.286,98,77,13,22,3,0,4,16,0,0,18,2,7,5
