분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.257,35,9,0,0,2,2,8,1,5,0
주자상황별,1루,0.400,20,8,2,0,1,3,4,1,2,3
주자상황별,2루,0.300,10,3,0,0,0,3,2,0,0,0
주자상황별,3루,0.000,2,0,0,0,0,1,0,0,0,0
주자상황별,"1,2루",0.250,4,1,1,0,0,1,2,0,0,0
주자상황별,"1,3루",0.333,3,1,0,0,1,4,0,0,0,1
주자상황별,"2,3루",0.000,1,0,0,0,0,1,1,0,0,0
주자상황별,만루,0.000,2,0,0,0,0,1,1,0,0,1
주자상황별,주자있음,0.310,42,13,3,0,2,14,10,1,2,5
주자상황별,득점권,0.227,22,5,1,0,1,11,6,0,0,2
볼카운트별,0-0,0.600,10,6,1,0,1,3,0,0,0,0
볼카운트별,1-0,0.000,7,0,0,0,0,0,0,0,0,2
볼카운트별,2-0,1.000,1,1,0,0,0,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,7,0,0,0
볼카운트별,0-1,0.111,9,1,0,0,0,0,0,0,0,1
볼카운트별,1-1,0.375,8,3,0,0,1,4,0,1,0,0
볼카운트별,2-1,0.500,2,1,1,0,0,1,0,1,0,0
볼카운트별,3-1,0.250,4,1,1,0,0,0,3,0,0,0
볼카운트별,0-2,0.400,5,2,0,0,0,0,0,0,3,0
볼카운트별,1-2,0.333,12,4,0,0,1,3,0,0,2,1
볼카운트별,2-2,0.111,9,1,0,0,0,0,0,0,1,0
볼카운트별,3-2,0.200,10,2,0,0,1,4,8,0,1,1
이닝별,1회,0.083,12,1,1,0,0,2,5,1,2,0
이닝별,2회,0.333,6,2,0,0,0,1,1,0,0,0
이닝별,3회,0.143,7,1,0,0,0,0,0,0,1,1
이닝별,4회,0.400,10,4,1,0,2,3,3,1,2,1
이닝별,5회,0.375,8,3,0,0,0,1,3,0,0,0
이닝별,6회,0.222,9,2,0,0,0,1,1,0,0,2
이닝별,7회,0.286,7,2,0,0,1,1,3,0,1,0
이닝별,8회,0.364,11,4,1,0,0,3,1,0,0,1
이닝별,9회,0.333,6,2,0,0,1,4,1,0,1,0
이닝별,연장,1.000,1,1,0,0,0,0,0,0,0,0
이닝별,1~3회,0.160,25,4,1,0,0,3,6,1,3,1
이닝별,4~6회,0.333,27,9,1,0,2,5,7,1,2,3
이닝별,7회이후,0.360,25,9,1,0,2,8,5,0,2,1
타순별,3번타자,0.283,46,13,3,0,2,13,15,2,3,0
타순별,5번타자,0.290,31,9,0,0,2,3,3,0,4,5
투수유형별,좌투수,0.300,20,6,0,0,1,2,9,0,3,0
투수유형별,우투수,0.286,56,16,3,0,3,14,9,2,4,4
투수유형별,언더투수,0.000,1,0,0,0,0,0,0,0,0,1
아웃카운트별,0아웃,0.500,20,10,1,0,3,5,5,0,1,2
아웃카운트별,1아웃,0.257,35,9,2,0,1,7,4,0,5,3
아웃카운트별,2아웃,0.136,22,3,0,0,0,4,9,2,1,0
