분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,롯데,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.333
3월,03.29,롯데,0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,1,0.286
3월,03.31,두산,0.600,5,5,1,3,0,0,1,1,0,0,0,0,1,0,0.417
4월,04.01,두산,0.200,5,5,1,1,0,0,0,0,0,0,0,0,1,1,0.353
4월,04.02,두산,0.500,4,2,0,1,0,0,0,1,0,0,1,0,0,1,0.368
4월,04.03,KT,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.318
4월,04.04,KT,0.200,5,5,1,1,0,0,1,1,0,0,0,0,2,0,0.296
4월,04.05,KT,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,2,0.290
4월,04.07,KIA,0.667,5,3,1,2,1,0,1,4,0,0,2,0,0,0,0.324
4월,04.08,KIA,0.250,5,4,2,1,0,0,1,2,0,0,1,0,0,0,0.316
4월,04.10,NC,0.000,5,3,0,0,0,0,0,1,0,0,2,0,0,0,0.293
4월,04.11,NC,0.000,4,2,0,0,0,0,0,1,0,0,2,0,0,0,0.279
4월,04.12,NC,0.250,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0.277
4월,04.14,한화,0.500,6,2,1,1,0,0,0,1,0,0,3,1,1,0,0.286
4월,04.15,한화,0.400,6,5,2,2,1,0,0,1,0,0,1,0,0,0,0.296
4월,04.16,한화,0.500,5,2,1,1,0,0,0,1,0,0,3,0,0,0,0.304
4월,04.18,LG,0.500,4,4,1,2,1,0,0,1,0,0,0,0,1,0,0.317
4월,04.19,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.297
4월,04.21,SSG,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.290
4월,04.22,SSG,0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.288
4월,04.23,SSG,0.250,5,4,0,1,0,0,0,0,0,0,1,0,1,0,0.286
