연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2002,삼성,0.400,4,6,5,0,2,2,0,0,4,0,0,0,0,0,0,0,0.800,0.400,0
2004,삼성,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0
2008,삼성,0.276,126,440,384,68,106,24,0,19,187,71,3,0,48,6,76,9,0.487,0.364,3
2009,삼성,0.284,113,481,415,70,118,24,0,23,211,83,1,2,53,9,60,12,0.508,0.375,3
2010,삼성,0.279,121,506,420,71,117,29,1,24,220,97,4,0,71,8,91,13,0.524,0.389,2
2011,삼성,0.340,133,571,480,80,163,37,3,30,296,118,4,3,76,5,88,8,0.617,0.427,1
2012,삼성,0.271,125,531,461,51,125,27,1,14,196,77,2,1,55,5,76,20,0.425,0.348,3
2013,삼성,0.305,128,573,511,80,156,28,0,29,271,98,2,1,47,7,91,5,0.530,0.366,1
2014,삼성,0.356,113,493,430,92,153,33,0,31,279,100,4,2,50,7,62,11,0.649,0.426,1
2015,삼성,0.318,144,637,547,94,174,33,1,33,308,123,2,5,73,9,101,13,0.563,0.402,2
2016,삼성,0.376,138,618,519,99,195,46,2,31,338,144,2,2,83,9,83,12,0.651,0.464,3
2017,KIA,0.342,142,629,514,98,176,36,3,26,296,120,0,1,96,11,82,15,0.576,0.450,4
2018,KIA,0.339,143,609,528,92,179,34,1,25,290,103,3,0,66,7,87,17,0.549,0.414,4
2019,KIA,0.300,136,555,456,65,137,31,1,17,221,86,0,1,85,7,77,13,0.485,0.413,0
2020,KIA,0.354,140,600,522,93,185,37,1,28,308,115,0,0,70,5,101,9,0.590,0.433,0
2021,KIA,0.233,104,446,373,52,87,15,1,12,140,55,0,0,67,4,67,9,0.375,0.354,0
2022,KIA,0.264,132,530,454,55,120,27,1,14,191,71,1,0,73,1,92,9,0.421,0.366,0
2023,KIA,0.302,121,508,431,64,130,27,1,17,210,81,0,0,65,8,83,5,0.487,0.400,1
2024,KIA,0.280,116,487,425,67,119,23,2,22,212,109,1,1,52,5,86,5,0.499,0.361,2
2025,KIA,0.307,133,549,469,74,144,30,1,24,248,86,1,0,67,8,98,9,0.529,0.399,0
2026,삼성,0.286,21,98,77,13,22,3,0,4,37,16,0,0,18,2,7,5,0.481,0.429,0
