분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.357,14,14,1,5,1,0,1,1,0,0,0,0,3,0
상대팀별,KT,3,0.167,13,12,2,2,1,1,0,1,1,0,1,0,4,1
상대팀별,NC,2,0.667,3,3,1,2,1,0,1,2,0,0,0,0,1,0
상대팀별,SSG,3,0.167,13,12,2,2,0,0,2,3,0,0,1,0,5,1
상대팀별,롯데,3,0.333,12,12,2,4,1,0,1,1,0,0,0,0,4,1
상대팀별,삼성,3,0.214,14,14,1,3,2,0,0,0,0,0,0,0,4,1
상대팀별,키움,2,0.286,8,7,0,2,2,0,0,0,0,0,0,1,0,0
상대팀별,한화,3,0.154,13,13,1,2,0,0,0,0,0,0,0,0,5,0
구장별,대구,3,0.214,14,14,1,3,2,0,0,0,0,0,0,0,4,1
구장별,문학,3,0.167,13,12,2,2,0,0,2,3,0,0,1,0,5,1
구장별,사직,3,0.333,12,12,2,4,1,0,1,1,0,0,0,0,4,1
구장별,수원,3,0.167,13,12,2,2,1,1,0,1,1,0,1,0,4,1
구장별,잠실,8,0.265,35,34,2,9,3,0,1,1,0,0,0,1,8,0
구장별,창원,2,0.667,3,3,1,2,1,0,1,2,0,0,0,0,1,0
월별,3~4월,22,0.253,90,87,10,22,8,1,5,8,1,0,2,1,26,4
요일별,화,4,0.263,19,19,2,5,4,0,1,2,0,0,0,0,5,2
요일별,수,4,0.071,16,14,1,1,0,0,0,0,0,0,1,1,5,1
요일별,목,3,0.417,12,12,2,5,1,0,2,2,0,0,0,0,3,0
요일별,금,3,0.333,15,15,3,5,1,1,0,1,0,0,0,0,3,1
요일별,토,4,0.143,15,14,0,2,1,0,0,0,1,0,1,0,5,0
요일별,일,4,0.308,13,13,2,4,1,0,2,3,0,0,0,0,5,0
홈/방문별,홈,8,0.265,35,34,2,9,3,0,1,1,0,0,0,1,8,0
홈/방문별,방문,14,0.245,55,53,8,13,5,1,4,7,1,0,2,0,18,4
주/야간별,주간,6,0.263,19,19,2,5,2,0,2,3,0,0,0,0,7,0
주/야간별,야간,16,0.250,71,68,8,17,6,1,3,5,1,0,2,1,19,4
기간별,전반기,22,0.253,90,87,10,22,8,1,5,8,1,0,2,1,26,4
