분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.366,41,15,7,0,3,3,1,0,10,0
주자상황별,1루,0.269,26,7,1,1,2,5,0,0,9,1
주자상황별,2루,0.000,5,0,0,0,0,0,1,0,2,0
주자상황별,3루,0.000,1,0,0,0,0,0,0,0,0,0
주자상황별,"1,2루",0.000,6,0,0,0,0,0,0,1,2,2
주자상황별,"1,3루",0.000,4,0,0,0,0,0,0,0,1,0
주자상황별,"2,3루",0.000,1,0,0,0,0,0,0,0,1,0
주자상황별,만루,0.000,3,0,0,0,0,0,0,0,1,1
주자상황별,주자있음,0.152,46,7,1,1,2,5,1,1,16,4
주자상황별,득점권,0.000,20,0,0,0,0,0,1,1,7,3
볼카운트별,0-0,0.250,16,4,1,1,0,1,0,0,0,2
볼카운트별,1-0,0.250,8,2,0,0,1,1,0,0,0,1
볼카운트별,2-0,0.500,4,2,1,0,1,1,0,0,0,0
볼카운트별,3-0,-,0,0,0,0,0,0,2,0,0,0
볼카운트별,0-1,0.400,5,2,0,0,1,2,0,0,0,0
볼카운트별,1-1,0.500,10,5,2,0,1,1,0,0,0,0
볼카운트별,2-1,0.500,2,1,0,0,0,0,0,0,0,0
볼카운트별,3-1,0.500,2,1,0,0,0,0,0,0,0,0
볼카운트별,0-2,0.000,7,0,0,0,0,0,0,0,4,0
볼카운트별,1-2,0.091,11,1,1,0,0,0,0,1,8,1
볼카운트별,2-2,0.200,10,2,2,0,0,0,0,0,6,0
볼카운트별,3-2,0.167,12,2,1,0,1,2,0,0,8,0
이닝별,1회,0.000,11,0,0,0,0,0,0,0,6,0
이닝별,2회,0.444,9,4,2,0,1,1,1,0,2,0
이닝별,3회,0.000,5,0,0,0,0,0,0,0,2,1
이닝별,4회,0.250,16,4,2,0,1,2,0,0,4,1
이닝별,5회,0.500,4,2,1,0,0,0,1,0,0,0
이닝별,6회,0.357,14,5,1,1,1,2,0,0,3,1
이닝별,7회,0.143,7,1,0,0,1,1,0,1,2,0
이닝별,8회,0.091,11,1,0,0,1,2,0,0,4,1
이닝별,9회,0.571,7,4,1,0,0,0,0,0,2,0
이닝별,연장,0.333,3,1,1,0,0,0,0,0,1,0
이닝별,1~3회,0.160,25,4,2,0,1,1,1,0,10,1
이닝별,4~6회,0.324,34,11,4,1,2,4,1,0,7,2
이닝별,7회이후,0.250,28,7,2,0,2,3,0,1,9,1
타순별,2번타자,0.250,4,1,0,0,0,0,0,0,2,0
타순별,3번타자,0.190,21,4,2,0,0,0,0,0,5,1
타순별,4번타자,0.000,4,0,0,0,0,0,0,0,4,0
타순별,5번타자,0.244,41,10,4,1,3,6,2,1,12,2
타순별,6번타자,0.308,13,4,1,0,1,1,0,0,3,1
타순별,7번타자,0.750,4,3,1,0,1,1,0,0,0,0
투수유형별,좌투수,0.280,25,7,3,0,0,0,0,0,8,0
투수유형별,우투수,0.242,62,15,5,1,5,8,2,1,18,4
아웃카운트별,0아웃,0.333,30,10,5,1,2,3,2,1,11,1
아웃카운트별,1아웃,0.294,34,10,3,0,2,3,0,0,9,3
아웃카운트별,2아웃,0.087,23,2,0,0,1,2,0,0,6,0
