분류,날짜,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
3월,03.28,NC,0.500,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0.500
3월,03.29,NC,1.000,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0.667
3월,03.31,삼성,0.167,6,6,1,1,1,0,0,0,0,0,0,0,2,1,0.333
4월,04.01,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.231
4월,04.02,삼성,0.500,4,4,0,2,1,0,0,0,0,0,0,0,1,0,0.294
4월,04.03,한화,0.400,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0.318
4월,04.04,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.269
4월,04.05,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0.233
4월,04.07,키움,0.500,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0.265
4월,04.08,키움,0.000,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0.243
4월,04.10,KT,0.400,5,5,2,2,1,1,0,1,0,0,0,0,1,1,0.262
4월,04.11,KT,0.000,4,3,0,0,0,0,0,0,1,0,1,0,2,0,0.244
4월,04.12,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.224
4월,04.14,SSG,0.200,5,5,1,1,0,0,1,2,0,0,0,0,2,0,0.222
4월,04.15,SSG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,2,1,0.211
4월,04.16,SSG,0.250,4,4,1,1,0,0,1,1,0,0,0,0,1,0,0.213
4월,04.17,KIA,0.200,5,5,0,1,0,0,0,0,0,0,0,0,2,0,0.212
4월,04.18,KIA,0.200,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0.211
4월,04.19,KIA,0.750,4,4,1,3,1,0,1,1,0,0,0,0,0,0,0.240
4월,04.21,롯데,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,1,0.241
4월,04.22,롯데,0.250,4,4,1,1,0,0,0,0,0,0,0,0,2,0,0.241
4월,04.23,롯데,0.500,4,4,1,2,0,0,1,1,0,0,0,0,1,0,0.253
