분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KT,3,0.125,9,8,1,1,1,0,0,0,0,0,1,0,0,2
상대팀별,LG,3,0.167,13,12,2,2,2,0,0,2,0,0,1,0,4,0
상대팀별,NC,3,0.091,12,11,1,1,0,0,0,2,0,0,0,0,3,2
상대팀별,SSG,2,0.556,10,9,3,5,1,0,1,2,0,0,1,0,1,0
상대팀별,두산,3,0.333,12,12,2,4,2,0,0,2,0,0,0,0,2,0
상대팀별,삼성,2,0.400,11,10,2,4,1,0,0,6,0,0,1,0,2,0
상대팀별,키움,2,0.125,8,8,2,1,0,0,1,2,0,0,0,0,2,0
상대팀별,한화,3,0.308,13,13,2,4,2,0,0,0,0,0,0,0,5,0
구장별,광주,7,0.207,31,29,5,6,1,0,1,10,0,0,1,0,7,2
구장별,대전,3,0.308,13,13,2,4,2,0,0,0,0,0,0,0,5,0
구장별,문학,2,0.556,10,9,3,5,1,0,1,2,0,0,1,0,1,0
구장별,수원,3,0.125,9,8,1,1,1,0,0,0,0,0,1,0,0,2
구장별,잠실,6,0.250,25,24,4,6,4,0,0,4,0,0,1,0,6,0
월별,3~4월,21,0.265,88,83,15,22,9,0,2,16,0,0,4,0,19,4
요일별,화,4,0.214,15,14,2,3,2,0,0,4,0,0,1,0,3,0
요일별,수,3,0.333,14,12,3,4,2,0,0,4,0,0,2,0,3,1
요일별,목,3,0.083,12,12,2,1,0,0,1,2,0,0,0,0,2,1
요일별,금,3,0.083,12,12,1,1,1,0,0,3,0,0,0,0,5,1
요일별,토,4,0.235,17,17,2,4,1,0,0,0,0,0,0,0,4,1
요일별,일,4,0.563,18,16,5,9,3,0,1,3,0,0,1,0,2,0
홈/방문별,홈,7,0.207,31,29,5,6,1,0,1,10,0,0,1,0,7,2
홈/방문별,방문,14,0.296,57,54,10,16,8,0,1,6,0,0,3,0,12,2
주/야간별,주간,6,0.520,27,25,7,13,4,0,1,3,0,0,1,0,5,0
주/야간별,야간,15,0.155,61,58,8,9,5,0,1,13,0,0,3,0,14,4
기간별,전반기,21,0.265,88,83,15,22,9,0,2,16,0,0,4,0,19,4
