분류,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자상황별,주자없음,0.286,42,12,5,0,0,0,4,0,8,0
주자상황별,1루,0.250,16,4,1,0,2,4,0,0,6,2
주자상황별,2루,0.000,7,0,0,0,0,0,0,0,1,0
주자상황별,3루,0.000,2,0,0,0,0,1,0,0,1,0
주자상황별,"1,2루",0.375,8,3,1,0,0,3,0,0,1,1
주자상황별,"1,3루",0.500,2,1,1,0,0,3,0,0,0,0
주자상황별,"2,3루",0.500,2,1,0,0,0,2,0,0,1,0
주자상황별,만루,0.250,4,1,1,0,0,3,0,0,1,1
주자상황별,주자있음,0.244,41,10,4,0,2,16,0,0,11,4
주자상황별,득점권,0.240,25,6,3,0,0,12,0,0,5,2
볼카운트별,0-0,0.250,4,1,0,0,0,2,0,0,0,0
볼카운트별,1-0,0.000,3,0,0,0,0,0,0,0,0,0
볼카운트별,2-0,0.667,3,2,2,0,0,0,0,0,0,0
볼카운트별,0-1,0.333,12,4,2,0,0,4,0,0,0,1
볼카운트별,1-1,0.250,8,2,0,0,0,0,0,0,0,0
볼카운트별,2-1,0.250,8,2,1,0,1,3,0,0,0,0
볼카운트별,3-1,0.000,1,0,0,0,0,0,4,0,0,0
볼카운트별,0-2,0.083,12,1,0,0,0,0,0,0,5,2
볼카운트별,1-2,0.364,11,4,2,0,1,2,0,0,5,1
볼카운트별,2-2,0.333,15,5,2,0,0,5,0,0,5,0
볼카운트별,3-2,0.167,6,1,0,0,0,0,0,0,4,0
이닝별,1회,0.462,13,6,3,0,0,5,0,0,2,2
이닝별,2회,0.444,9,4,2,0,0,5,0,0,3,1
이닝별,3회,0.111,9,1,0,0,0,0,1,0,3,1
이닝별,4회,0.250,8,2,2,0,0,0,1,0,2,0
이닝별,5회,0.231,13,3,1,0,0,0,0,0,2,0
이닝별,6회,0.375,8,3,0,0,1,2,0,0,3,0
이닝별,7회,0.200,10,2,1,0,1,2,1,0,3,0
이닝별,8회,0.000,9,0,0,0,0,2,0,0,1,0
이닝별,9회,0.333,3,1,0,0,0,0,1,0,0,0
이닝별,연장,0.000,1,0,0,0,0,0,0,0,0,0
이닝별,1~3회,0.355,31,11,5,0,0,10,1,0,8,4
이닝별,4~6회,0.276,29,8,3,0,1,2,1,0,7,0
이닝별,7회이후,0.130,23,3,1,0,1,4,2,0,4,0
타순별,2번타자,0.241,29,7,3,0,1,5,2,0,7,2
타순별,4번타자,0.313,16,5,1,0,0,3,0,0,2,0
타순별,5번타자,0.273,33,9,5,0,0,6,2,0,9,2
타순별,6번타자,0.250,4,1,0,0,1,2,0,0,1,0
타순별,8번타자,0.000,1,0,0,0,0,0,0,0,0,0
투수유형별,좌투수,0.219,32,7,2,0,1,10,2,0,8,1
투수유형별,우투수,0.319,47,15,7,0,1,6,2,0,11,3
투수유형별,언더투수,0.000,4,0,0,0,0,0,0,0,0,0
아웃카운트별,0아웃,0.294,34,10,4,0,0,0,1,0,7,3
아웃카운트별,1아웃,0.136,22,3,1,0,0,2,3,0,5,1
아웃카운트별,2아웃,0.333,27,9,4,0,2,14,0,0,7,0
