분류,구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
상대팀별,KIA,3,0.273,13,11,1,3,0,0,0,2,1,0,1,0,2,0
상대팀별,KT,3,0.400,14,10,3,4,1,0,0,2,0,0,4,0,4,0
상대팀별,LG,3,0.300,13,10,3,3,0,0,1,1,1,0,3,0,1,0
상대팀별,SSG,2,0.333,9,6,2,2,2,0,0,0,0,0,3,0,1,0
상대팀별,두산,3,0.400,16,15,4,6,2,0,1,3,1,0,1,0,2,1
상대팀별,롯데,2,0.571,10,7,4,4,1,0,0,2,0,0,3,0,2,0
상대팀별,삼성,3,0.167,14,12,1,2,1,0,0,3,0,0,1,0,1,0
상대팀별,키움,2,0.545,11,11,3,6,1,0,0,0,1,0,0,0,0,0
구장별,대전,11,0.341,52,44,8,15,3,0,0,7,2,0,6,0,7,0
구장별,문학,2,0.333,9,6,2,2,2,0,0,0,0,0,3,0,1,0
구장별,사직,2,0.571,10,7,4,4,1,0,0,2,0,0,3,0,2,0
구장별,잠실,6,0.360,29,25,7,9,2,0,2,4,2,0,4,0,3,1
월별,3~4월,21,0.366,100,82,21,30,8,0,2,13,4,0,16,0,13,1
요일별,화,4,0.286,20,14,4,4,3,0,0,4,0,0,5,0,2,0
요일별,수,4,0.286,18,14,2,4,1,0,0,1,1,0,4,0,3,0
요일별,목,3,0.300,12,10,3,3,0,0,1,1,0,0,2,0,2,0
요일별,금,2,0.444,10,9,2,4,0,0,1,3,1,0,1,0,0,0
요일별,토,4,0.474,21,19,6,9,3,0,0,2,0,0,1,0,2,1
요일별,일,4,0.375,19,16,4,6,1,0,0,2,2,0,3,0,4,0
홈/방문별,홈,11,0.341,52,44,8,15,3,0,0,7,2,0,6,0,7,0
홈/방문별,방문,10,0.395,48,38,13,15,5,0,2,6,2,0,10,0,6,1
주/야간별,주간,7,0.387,35,31,8,12,3,0,0,3,2,0,3,0,6,1
주/야간별,야간,14,0.353,65,51,13,18,5,0,2,10,2,0,13,0,7,0
기간별,전반기,21,0.366,100,82,21,30,8,0,2,13,4,0,16,0,13,1
